Train epoch 1: top1%=0.17350000143051147, top2%=0.326324999332428, top3%=0.4440999925136566, top4%=0.552649974822998, top5%=0.6538749933242798, loss=0.06960589998364448, time=319.54222416877747s
Train epoch 2: top1%=0.1936499923467636, top2%=0.3664499819278717, top3%=0.48922500014305115, top4%=0.6038749814033508, top5%=0.7029749751091003, loss=0.06690621870458126, time=319.7765486240387s
Train epoch 3: top1%=0.19527499377727509, top2%=0.3608250021934509, top3%=0.4830999970436096, top4%=0.5910750031471252, top5%=0.691224992275238, loss=0.06735335286557674, time=319.5654311180115s
Train epoch 4: top1%=0.18694999814033508, top2%=0.3501499891281128, top3%=0.462149977684021, top4%=0.568274974822998, top5%=0.6664999723434448, loss=0.06779516084492207, time=319.23528814315796s
Train epoch 5: top1%=0.20532499253749847, top2%=0.37997499108314514, top3%=0.49902498722076416, top4%=0.6099249720573425, top5%=0.7083749771118164, loss=0.06634603114426137, time=319.3232264518738s
Train epoch 6: top1%=0.204599991440773, top2%=0.37792497873306274, top3%=0.5020750164985657, top4%=0.6119499802589417, top5%=0.7068749666213989, loss=0.06669003646075726, time=319.6675913333893s
Train epoch 7: top1%=0.21252499520778656, top2%=0.389724999666214, top3%=0.5166000127792358, top4%=0.6259750127792358, top5%=0.7234249711036682, loss=0.06619914819598198, time=319.70067262649536s
Train epoch 8: top1%=0.22842499613761902, top2%=0.41009998321533203, top3%=0.5430249571800232, top4%=0.6543999910354614, top5%=0.7483499646186829, loss=0.06478584375679493, time=319.02930068969727s
Train epoch 9: top1%=0.21847499907016754, top2%=0.39512500166893005, top3%=0.5333749651908875, top4%=0.6491749882698059, top5%=0.7421999573707581, loss=0.064878786149621, time=319.0193102359772s
Train epoch 10: top1%=0.21754999458789825, top2%=0.3966749906539917, top3%=0.5278249979019165, top4%=0.6393749713897705, top5%=0.7385749816894531, loss=0.06494121516346932, time=318.8339788913727s
Train epoch 11: top1%=0.19557499885559082, top2%=0.35899999737739563, top3%=0.4932999908924103, top4%=0.6017249822616577, top5%=0.6982499957084656, loss=0.06676974383890628, time=318.79947304725647s
Train epoch 12: top1%=0.2247999906539917, top2%=0.40035000443458557, top3%=0.5344249606132507, top4%=0.6464250087738037, top5%=0.7401250004768372, loss=0.06486393266022206, time=319.0102756023407s
Train epoch 13: top1%=0.22107499837875366, top2%=0.3976749777793884, top3%=0.5340499877929688, top4%=0.6441499590873718, top5%=0.7384249567985535, loss=0.06502717033922673, time=318.9231848716736s
Train epoch 14: top1%=0.22864998877048492, top2%=0.4095499813556671, top3%=0.5448749661445618, top4%=0.6547249555587769, top5%=0.7491999864578247, loss=0.06438727882802486, time=319.1242673397064s
Train epoch 15: top1%=0.23127499222755432, top2%=0.4123999774456024, top3%=0.551925003528595, top4%=0.6635499596595764, top5%=0.7562999725341797, loss=0.06402576225996018, time=319.7785074710846s
Train epoch 16: top1%=0.23977498710155487, top2%=0.42412498593330383, top3%=0.5674999952316284, top4%=0.6833999752998352, top5%=0.7724249958992004, loss=0.06331130579710006, time=319.5612790584564s
Train epoch 17: top1%=0.24382498860359192, top2%=0.43539997935295105, top3%=0.5820749998092651, top4%=0.6947500109672546, top5%=0.7822999954223633, loss=0.0627953042268753, time=320.02261781692505s
Train epoch 18: top1%=0.25084999203681946, top2%=0.44392499327659607, top3%=0.590025007724762, top4%=0.7014749646186829, top5%=0.7883249521255493, loss=0.062389413103461265, time=319.4363341331482s
Train epoch 19: top1%=0.2559249997138977, top2%=0.4506250023841858, top3%=0.597724974155426, top4%=0.7102000117301941, top5%=0.7962999939918518, loss=0.0619279798656702, time=319.19073271751404s
Train epoch 20: top1%=0.2603749930858612, top2%=0.45684999227523804, top3%=0.6062250137329102, top4%=0.715999960899353, top5%=0.8005249500274658, loss=0.06152214323580265, time=319.56702065467834s
Train epoch 21: top1%=0.26510000228881836, top2%=0.4632999897003174, top3%=0.6126750111579895, top4%=0.7214999794960022, top5%=0.8046749830245972, loss=0.061124522089958194, time=319.4375948905945s
Train epoch 22: top1%=0.2670750021934509, top2%=0.4653500020503998, top3%=0.6131249666213989, top4%=0.7240250110626221, top5%=0.8069999814033508, loss=0.0608797136425972, time=319.72488141059875s
Train epoch 23: top1%=0.2705249786376953, top2%=0.4710249900817871, top3%=0.6210749745368958, top4%=0.7305499911308289, top5%=0.8112249970436096, loss=0.06056292427778244, time=319.31451869010925s
Train epoch 24: top1%=0.2733500003814697, top2%=0.47689998149871826, top3%=0.6231249570846558, top4%=0.7331749796867371, top5%=0.8155499696731567, loss=0.06022167476415634, time=319.3458273410797s
Train epoch 25: top1%=0.2782000005245209, top2%=0.4848499894142151, top3%=0.6300249695777893, top4%=0.7387250065803528, top5%=0.8174499869346619, loss=0.05975211124420166, time=319.32732915878296s
Train epoch 26: top1%=0.2852749824523926, top2%=0.4953499734401703, top3%=0.640500009059906, top4%=0.7463249564170837, top5%=0.8259750008583069, loss=0.059105114302039144, time=319.86468529701233s
Train epoch 27: top1%=0.30274999141693115, top2%=0.5207499861717224, top3%=0.6624749898910522, top4%=0.7654749751091003, top5%=0.8407749533653259, loss=0.0576264171987772, time=319.5910623073578s
Train epoch 28: top1%=0.31334999203681946, top2%=0.5356999635696411, top3%=0.6772750020027161, top4%=0.7811749577522278, top5%=0.852774977684021, loss=0.056568556985259054, time=320.06576442718506s
Train epoch 29: top1%=0.31892499327659607, top2%=0.5428499579429626, top3%=0.6843499541282654, top4%=0.7879499793052673, top5%=0.8602499961853027, loss=0.05594036043286323, time=319.16290807724s
Train epoch 30: top1%=0.3217249810695648, top2%=0.5449000000953674, top3%=0.6930750012397766, top4%=0.7943499684333801, top5%=0.8648249506950378, loss=0.05544797184169292, time=319.65114283561707s
Train epoch 31: top1%=0.3296249806880951, top2%=0.551800012588501, top3%=0.6928499937057495, top4%=0.7972249984741211, top5%=0.8670499920845032, loss=0.05507833279073238, time=320.05362915992737s
Train epoch 32: top1%=0.33137500286102295, top2%=0.557699978351593, top3%=0.6996999979019165, top4%=0.801925003528595, top5%=0.8718249797821045, loss=0.05465247391462326, time=319.9839651584625s
Train epoch 33: top1%=0.33662497997283936, top2%=0.5643749833106995, top3%=0.7046749591827393, top4%=0.8068499565124512, top5%=0.8750249743461609, loss=0.05408394159078598, time=319.76697278022766s
Train epoch 34: top1%=0.344899982213974, top2%=0.5720999836921692, top3%=0.7093999981880188, top4%=0.8122499585151672, top5%=0.8788749575614929, loss=0.053586005219817164, time=319.769944190979s
Train epoch 35: top1%=0.34950000047683716, top2%=0.5788750052452087, top3%=0.7173500061035156, top4%=0.8160749673843384, top5%=0.8830749988555908, loss=0.05316808221638203, time=319.5008854866028s
Train epoch 36: top1%=0.35635000467300415, top2%=0.5834749937057495, top3%=0.7185750007629395, top4%=0.8183749914169312, top5%=0.8840749859809875, loss=0.05288050054907799, time=319.35541105270386s
Train epoch 37: top1%=0.3625999987125397, top2%=0.5886250138282776, top3%=0.7217749953269958, top4%=0.8238250017166138, top5%=0.887024998664856, loss=0.05237705650031567, time=320.2892498970032s
Train epoch 38: top1%=0.36559998989105225, top2%=0.5922749638557434, top3%=0.7268750071525574, top4%=0.8255749940872192, top5%=0.8900749683380127, loss=0.05216266512274742, time=319.9850034713745s
Train epoch 39: top1%=0.37070000171661377, top2%=0.5971249938011169, top3%=0.7278499603271484, top4%=0.826449990272522, top5%=0.8908499479293823, loss=0.05190735416412354, time=320.03822088241577s
Train epoch 40: top1%=0.37689998745918274, top2%=0.6042500138282776, top3%=0.7369749546051025, top4%=0.8300999999046326, top5%=0.8931499719619751, loss=0.05148380176723003, time=320.091673374176s
