Train epoch 1: top1%=0.01071999967098236, top2%=0.02061999961733818, top3%=0.03019999898970127, top4%=0.04031999781727791, top5%=0.049879997968673706, loss=0.018759866285324098, time=55.03790831565857s
Train epoch 2: top1%=0.013179999776184559, top2%=0.024899998679757118, top3%=0.0379600003361702, top4%=0.050999999046325684, top5%=0.06273999810218811, loss=0.01807547801017761, time=57.319461822509766s
Train epoch 3: top1%=0.022219998762011528, top2%=0.043379999697208405, top3%=0.061879999935626984, top4%=0.0794999971985817, top5%=0.09637999534606934, loss=0.017737979593276977, time=57.571961402893066s
Train epoch 4: top1%=0.027540000155568123, top2%=0.05164000019431114, top3%=0.07261999696493149, top4%=0.09333999454975128, top5%=0.11203999817371368, loss=0.017588654584884643, time=56.9498074054718s
Train epoch 5: top1%=0.03460000082850456, top2%=0.06331999599933624, top3%=0.08771999925374985, top4%=0.11023999750614166, top5%=0.13127999007701874, loss=0.017348165283203126, time=57.120240449905396s
Train epoch 6: top1%=0.04521999880671501, top2%=0.0784199982881546, top3%=0.10706000030040741, top4%=0.13279999792575836, top5%=0.15587998926639557, loss=0.017004699392318724, time=57.33185076713562s
Train epoch 7: top1%=0.05833999812602997, top2%=0.09867999702692032, top3%=0.12999999523162842, top4%=0.15745998919010162, top5%=0.18308000266551971, loss=0.01669661437034607, time=57.492918491363525s
Train epoch 8: top1%=0.05939999967813492, top2%=0.0995199978351593, top3%=0.13369999825954437, top4%=0.16103999316692352, top5%=0.18539999425411224, loss=0.01647457127094269, time=57.879469871520996s
Train epoch 9: top1%=0.07502000033855438, top2%=0.1224999949336052, top3%=0.16133999824523926, top4%=0.19373999536037445, top5%=0.2217799872159958, loss=0.016275173349380494, time=57.39845633506775s
Train epoch 10: top1%=0.0776199996471405, top2%=0.125560000538826, top3%=0.16346000134944916, top4%=0.1959799975156784, top5%=0.22337999939918518, loss=0.01614370348930359, time=57.666293144226074s
Train epoch 11: top1%=0.07311999797821045, top2%=0.11809999495744705, top3%=0.15313999354839325, top4%=0.18357999622821808, top5%=0.20895999670028687, loss=0.016002621850967406, time=57.2460834980011s
Train epoch 12: top1%=0.08673999458551407, top2%=0.13947999477386475, top3%=0.1798200011253357, top4%=0.21213999390602112, top5%=0.24111999571323395, loss=0.01595030993461609, time=57.58960819244385s
Train epoch 13: top1%=0.08461999893188477, top2%=0.13526000082492828, top3%=0.1747799962759018, top4%=0.20827999711036682, top5%=0.23587998747825623, loss=0.01580873885154724, time=57.419989585876465s
Train epoch 14: top1%=0.09313999861478806, top2%=0.147939994931221, top3%=0.19081999361515045, top4%=0.2239599972963333, top5%=0.25373998284339905, loss=0.015773996205329894, time=57.18449068069458s
Train epoch 15: top1%=0.09956000000238419, top2%=0.15369999408721924, top3%=0.1955999881029129, top4%=0.229559987783432, top5%=0.26034000515937805, loss=0.015709918575286867, time=57.465338706970215s
Train epoch 16: top1%=0.09017999470233917, top2%=0.14007999002933502, top3%=0.17871999740600586, top4%=0.2113799899816513, top5%=0.23955999314785004, loss=0.01561407100200653, time=57.426615715026855s
Train epoch 17: top1%=0.09703999757766724, top2%=0.15067999064922333, top3%=0.19119998812675476, top4%=0.2243800014257431, top5%=0.25327998399734497, loss=0.01547821186542511, time=57.607949018478394s
Train epoch 18: top1%=0.09015999734401703, top2%=0.14075998961925507, top3%=0.18016000092029572, top4%=0.21407999098300934, top5%=0.24117998778820038, loss=0.015524688820838928, time=57.49346470832825s
Train epoch 19: top1%=0.10167999565601349, top2%=0.1572199910879135, top3%=0.19731999933719635, top4%=0.23147998750209808, top5%=0.25953999161720276, loss=0.015303710174560546, time=57.70044016838074s
Train epoch 20: top1%=0.10439999401569366, top2%=0.16087999939918518, top3%=0.20231999456882477, top4%=0.23677998781204224, top5%=0.26486000418663025, loss=0.01533992765903473, time=57.36475110054016s
Train epoch 21: top1%=0.10777999460697174, top2%=0.16662000119686127, top3%=0.21087999641895294, top4%=0.2449999898672104, top5%=0.2737799882888794, loss=0.01540411298274994, time=57.268067359924316s
Train epoch 22: top1%=0.12015999853610992, top2%=0.1833999902009964, top3%=0.22603999078273773, top4%=0.2602999806404114, top5%=0.2923800051212311, loss=0.015263371677398682, time=57.29342436790466s
Train epoch 23: top1%=0.12083999812602997, top2%=0.18427999317646027, top3%=0.23093999922275543, top4%=0.2674599885940552, top5%=0.29853999614715576, loss=0.015242716612815857, time=57.669804096221924s
Train epoch 24: top1%=0.10607999563217163, top2%=0.16259999573230743, top3%=0.2037999927997589, top4%=0.23827999830245972, top5%=0.26725998520851135, loss=0.015164969577789306, time=57.18565082550049s
Train epoch 25: top1%=0.10721999406814575, top2%=0.1639999896287918, top3%=0.20535999536514282, top4%=0.24023999273777008, top5%=0.26892000436782837, loss=0.015141182780265808, time=57.25738501548767s
