Train epoch 1: top1%=0.1034233346581459, top2%=0.19229666888713837, top3%=0.2865866720676422, top4%=0.3888733386993408, top5%=0.493369996547699, loss=0.009404556250572205, time=167.9084825515747s
Train epoch 2: top1%=0.2074200063943863, top2%=0.3689533472061157, top3%=0.49568668007850647, top4%=0.6051233410835266, top5%=0.6935733556747437, loss=0.008104319953123728, time=205.20716977119446s
Train epoch 3: top1%=0.2845633327960968, top2%=0.46255332231521606, top3%=0.588973343372345, top4%=0.6848633289337158, top5%=0.7577333450317383, loss=0.007273874527215958, time=205.7528624534607s
Train epoch 4: top1%=0.31754666566848755, top2%=0.4948500096797943, top3%=0.6177733540534973, top4%=0.7070366740226746, top5%=0.7764333486557007, loss=0.006931561377843221, time=206.12430238723755s
Train epoch 5: top1%=0.34621667861938477, top2%=0.5214899778366089, top3%=0.6416966915130615, top4%=0.7284066677093506, top5%=0.7951099872589111, loss=0.006751896050373713, time=206.3472545146942s
Train epoch 6: top1%=0.35824665427207947, top2%=0.5299633145332336, top3%=0.6474666595458984, top4%=0.7330266833305359, top5%=0.7986900210380554, loss=0.006574624037742615, time=205.981427192688s
Train epoch 7: top1%=0.35615667700767517, top2%=0.52510666847229, top3%=0.6418233513832092, top4%=0.7288166880607605, top5%=0.7963333129882812, loss=0.006468254080613454, time=205.9892008304596s
Train epoch 8: top1%=0.37305334210395813, top2%=0.542680025100708, top3%=0.6595766544342041, top4%=0.7450766563415527, top5%=0.8105133175849915, loss=0.006394195084571838, time=206.69090747833252s
Train epoch 9: top1%=0.37117666006088257, top2%=0.5403433442115784, top3%=0.6565366387367249, top4%=0.7428866624832153, top5%=0.8089133501052856, loss=0.006290166791280111, time=206.15088176727295s
Train epoch 10: top1%=0.3885033428668976, top2%=0.557479977607727, top3%=0.6731133460998535, top4%=0.757319986820221, top5%=0.8208666443824768, loss=0.006200096558332443, time=205.97894024848938s
Train epoch 11: top1%=0.4039466679096222, top2%=0.5748233199119568, top3%=0.6892866492271423, top4%=0.7712166905403137, top5%=0.8328433036804199, loss=0.006082727254629135, time=205.69818472862244s
Train epoch 12: top1%=0.40744665265083313, top2%=0.5799033045768738, top3%=0.6936500072479248, top4%=0.7761899828910828, top5%=0.8372600078582764, loss=0.00595302703221639, time=206.4046528339386s
Train epoch 13: top1%=0.41141000390052795, top2%=0.584993302822113, top3%=0.6972699761390686, top4%=0.7776700258255005, top5%=0.8375300168991089, loss=0.005812915859222412, time=206.65212416648865s
Train epoch 14: top1%=0.43155667185783386, top2%=0.6096033453941345, top3%=0.7196033596992493, top4%=0.7971633076667786, top5%=0.8529333472251892, loss=0.005762378464142482, time=206.15721464157104s
Train epoch 15: top1%=0.4120500087738037, top2%=0.5929766893386841, top3%=0.7079533338546753, top4%=0.7897199988365173, top5%=0.8482533097267151, loss=0.005718026397824288, time=206.26693272590637s
Train epoch 16: top1%=0.40727999806404114, top2%=0.586953341960907, top3%=0.7014633417129517, top4%=0.7828333377838135, top5%=0.8426499962806702, loss=0.005617490681012471, time=206.24784111976624s
Train epoch 17: top1%=0.4360800087451935, top2%=0.6168533563613892, top3%=0.7281166911125183, top4%=0.8056066632270813, top5%=0.8606533408164978, loss=0.005584794344703357, time=206.16704893112183s
Train epoch 18: top1%=0.42800000309944153, top2%=0.6143066883087158, top3%=0.7267400026321411, top4%=0.8057666420936584, top5%=0.8607366681098938, loss=0.005567787934740384, time=206.09541821479797s
