Train epoch 1: top1%=0.09299999475479126, top2%=0.15332499146461487, top3%=0.20372499525547028, top4%=0.24387499690055847, top5%=0.28052499890327454, loss=0.12350709620118142, time=52.06727385520935s
Train epoch 2: top1%=0.16654999554157257, top2%=0.25702500343322754, top3%=0.32569998502731323, top4%=0.38052499294281006, top5%=0.4240749776363373, loss=0.1084507806301117, time=50.86708354949951s
Train epoch 3: top1%=0.20522499084472656, top2%=0.3090749979019165, top3%=0.383899986743927, top4%=0.44017499685287476, top5%=0.484624981880188, loss=0.10185001298189163, time=51.10920453071594s
Train epoch 4: top1%=0.2315249890089035, top2%=0.33972498774528503, top3%=0.4183749854564667, top4%=0.4754999876022339, top5%=0.5220749974250793, loss=0.09745355579257012, time=51.07716155052185s
Train epoch 5: top1%=0.2521499991416931, top2%=0.36844998598098755, top3%=0.44679999351501465, top4%=0.5050249695777893, top5%=0.5510500073432922, loss=0.0939550157725811, time=51.12189054489136s
Train epoch 6: top1%=0.26934999227523804, top2%=0.3876499831676483, top3%=0.46814998984336853, top4%=0.5275750160217285, top5%=0.5747249722480774, loss=0.0910386935889721, time=51.11054444313049s
Train epoch 7: top1%=0.288224995136261, top2%=0.40869998931884766, top3%=0.4873749911785126, top4%=0.5466249585151672, top5%=0.5920499563217163, loss=0.08862744111716747, time=51.12086534500122s
Train epoch 8: top1%=0.2997249960899353, top2%=0.42719998955726624, top3%=0.5083500146865845, top4%=0.5661249756813049, top5%=0.6104499697685242, loss=0.08604573822319507, time=51.194215297698975s
Train epoch 9: top1%=0.3136749863624573, top2%=0.44087499380111694, top3%=0.5224249958992004, top4%=0.5819249749183655, top5%=0.6273999810218811, loss=0.0840731256455183, time=51.197593212127686s
Train epoch 10: top1%=0.327474981546402, top2%=0.4569249749183655, top3%=0.5399749875068665, top4%=0.597599983215332, top5%=0.6417999863624573, loss=0.08199776749014855, time=51.11912798881531s
Train epoch 11: top1%=0.3405250012874603, top2%=0.47235000133514404, top3%=0.556024968624115, top4%=0.6129999756813049, top5%=0.6567999720573425, loss=0.08012553809881211, time=51.156906604766846s
Train epoch 12: top1%=0.3531000018119812, top2%=0.4867499768733978, top3%=0.5697749853134155, top4%=0.626924991607666, top5%=0.6700999736785889, loss=0.0782115049123764, time=51.155842542648315s
Train epoch 13: top1%=0.36317500472068787, top2%=0.49847498536109924, top3%=0.5827749967575073, top4%=0.6394249796867371, top5%=0.6823749542236328, loss=0.07655105312466622, time=51.11251187324524s
Train epoch 14: top1%=0.37462499737739563, top2%=0.5098499655723572, top3%=0.594249963760376, top4%=0.6518250107765198, top5%=0.6938250064849854, loss=0.0748959712356329, time=51.20248532295227s
Train epoch 15: top1%=0.38374999165534973, top2%=0.5223000049591064, top3%=0.6038749814033508, top4%=0.6606499552726746, top5%=0.7028749585151672, loss=0.0734032208353281, time=51.12175631523132s
