Train epoch 1: top1%=0.21609999239444733, top2%=0.40414997935295105, top3%=0.5464000105857849, top4%=0.6686999797821045, top5%=0.7585749626159668, loss=0.064543528470397, time=26.363078594207764s
Train epoch 2: top1%=0.24959999322891235, top2%=0.44794997572898865, top3%=0.5947999954223633, top4%=0.7084999680519104, top5%=0.7929499745368958, loss=0.062278639230132105, time=25.100342750549316s
Train epoch 3: top1%=0.26569998264312744, top2%=0.47314998507499695, top3%=0.6236499547958374, top4%=0.7355749607086182, top5%=0.8152999877929688, loss=0.060620628240704535, time=25.147032260894775s
Train epoch 4: top1%=0.2848750054836273, top2%=0.4966749846935272, top3%=0.6424499750137329, top4%=0.7527250051498413, top5%=0.8305000066757202, loss=0.05929538013041019, time=25.139662981033325s
Train epoch 5: top1%=0.29042500257492065, top2%=0.5058749914169312, top3%=0.6521750092506409, top4%=0.7613250017166138, top5%=0.835599958896637, loss=0.05849782601296902, time=25.1059627532959s
Train epoch 6: top1%=0.30219998955726624, top2%=0.5185250043869019, top3%=0.6654499769210815, top4%=0.7713249921798706, top5%=0.8458499908447266, loss=0.05766772850453854, time=25.11852240562439s
Train epoch 7: top1%=0.30697500705718994, top2%=0.5242999792098999, top3%=0.6701749563217163, top4%=0.7759000062942505, top5%=0.8503249883651733, loss=0.057249076411128044, time=25.089532136917114s
Train epoch 8: top1%=0.3172999918460846, top2%=0.5327999591827393, top3%=0.6782249808311462, top4%=0.7834500074386597, top5%=0.8547749519348145, loss=0.056673953953385356, time=25.103269338607788s
Train epoch 9: top1%=0.3190000057220459, top2%=0.536300003528595, top3%=0.6872749924659729, top4%=0.7899249792098999, top5%=0.8618499636650085, loss=0.05606555485129357, time=25.099597454071045s
Train epoch 10: top1%=0.32727497816085815, top2%=0.5416249632835388, top3%=0.6898499727249146, top4%=0.79339998960495, top5%=0.8650749921798706, loss=0.05573281828165055, time=25.125676155090332s
Train epoch 11: top1%=0.33467498421669006, top2%=0.5532249808311462, top3%=0.6969499588012695, top4%=0.7989499568939209, top5%=0.8684749603271484, loss=0.05522439705431462, time=25.098397493362427s
Train epoch 12: top1%=0.33515000343322754, top2%=0.5566999912261963, top3%=0.7041249871253967, top4%=0.8034249544143677, top5%=0.8705499768257141, loss=0.054916385227441786, time=25.074490308761597s
Train epoch 13: top1%=0.34152498841285706, top2%=0.5619750022888184, top3%=0.7088750004768372, top4%=0.8099499940872192, top5%=0.8740749955177307, loss=0.054509372332692145, time=25.084022521972656s
Train epoch 14: top1%=0.3439500033855438, top2%=0.5649749636650085, top3%=0.7101249694824219, top4%=0.8103500008583069, top5%=0.876924991607666, loss=0.05431959014236927, time=25.11826229095459s
Train epoch 15: top1%=0.349824994802475, top2%=0.5740749835968018, top3%=0.7186499834060669, top4%=0.8144499659538269, top5%=0.8782999515533447, loss=0.053815030857920644, time=25.09558367729187s
Train epoch 16: top1%=0.35442498326301575, top2%=0.5789749622344971, top3%=0.7221999764442444, top4%=0.8188999891281128, top5%=0.8819499611854553, loss=0.0534266260176897, time=25.107531547546387s
Train epoch 17: top1%=0.3559249937534332, top2%=0.5827000141143799, top3%=0.7251749634742737, top4%=0.821524977684021, top5%=0.8852999806404114, loss=0.053185454919934275, time=25.13282537460327s
Train epoch 18: top1%=0.36047500371932983, top2%=0.5866000056266785, top3%=0.7272250056266785, top4%=0.8238749504089355, top5%=0.885824978351593, loss=0.05296327102780342, time=25.103769779205322s
Train epoch 19: top1%=0.3643749952316284, top2%=0.5888499617576599, top3%=0.7311499714851379, top4%=0.8254500031471252, top5%=0.8883000016212463, loss=0.05276898886561394, time=25.093562126159668s
Train epoch 20: top1%=0.3634999990463257, top2%=0.5914999842643738, top3%=0.7339999675750732, top4%=0.8260749578475952, top5%=0.8888499736785889, loss=0.0524744135916233, time=25.010818243026733s
Train epoch 21: top1%=0.368399977684021, top2%=0.5940249562263489, top3%=0.7353499531745911, top4%=0.8300749659538269, top5%=0.8904500007629395, loss=0.052254644548892976, time=24.97845768928528s
Train epoch 22: top1%=0.37369999289512634, top2%=0.5988500118255615, top3%=0.7407499551773071, top4%=0.8309749960899353, top5%=0.8908249735832214, loss=0.052041280028223995, time=25.0026638507843s
Train epoch 23: top1%=0.37392500042915344, top2%=0.6007999777793884, top3%=0.7389999628067017, top4%=0.833674967288971, top5%=0.8948249816894531, loss=0.05191889300942421, time=25.021320581436157s
Train epoch 24: top1%=0.3753499984741211, top2%=0.6044999957084656, top3%=0.7444750070571899, top4%=0.8350249528884888, top5%=0.8942999839782715, loss=0.05171343790590763, time=24.99425959587097s
Train epoch 25: top1%=0.38109999895095825, top2%=0.6067249774932861, top3%=0.7464749813079834, top4%=0.8338499665260315, top5%=0.8928249478340149, loss=0.051582677215337755, time=24.993433952331543s
Train epoch 26: top1%=0.3814750015735626, top2%=0.6139249801635742, top3%=0.7515249848365784, top4%=0.840999960899353, top5%=0.8983500003814697, loss=0.051159647679328915, time=24.995235204696655s
