Train epoch 1: top1%=0.02540760673582554, top2%=0.05142662674188614, top3%=0.07860054075717926, top4%=0.10591032356023788, top5%=0.13124999403953552, loss=0.01479874282427456, time=80.17040967941284s
Train epoch 2: top1%=0.02656249888241291, top2%=0.05461956188082695, top3%=0.08016303926706314, top4%=0.10794836282730103, top5%=0.13614130020141602, loss=0.01435589710979358, time=78.57038760185242s
Train epoch 3: top1%=0.028464673087000847, top2%=0.05781249701976776, top3%=0.08586955815553665, top4%=0.11569292843341827, top5%=0.14429347217082977, loss=0.014264625197519427, time=78.33790063858032s
Train epoch 4: top1%=0.029959237203001976, top2%=0.059986408799886703, top3%=0.09028532356023788, top4%=0.1201086938381195, top5%=0.1488451063632965, loss=0.014239086486075235, time=78.8060507774353s
Train epoch 5: top1%=0.035054344683885574, top2%=0.06949727982282639, top3%=0.10095108300447464, top4%=0.13091032207012177, top5%=0.16080161929130554, loss=0.014203134713613468, time=78.4625940322876s
Train epoch 6: top1%=0.044565215706825256, top2%=0.08376358449459076, top3%=0.11949727684259415, top4%=0.15258151292800903, top5%=0.18872281908988953, loss=0.014060435816645622, time=77.88019013404846s
Train epoch 7: top1%=0.05339673534035683, top2%=0.09830162674188614, top3%=0.1425950974225998, top4%=0.18301630020141602, top5%=0.22289401292800903, loss=0.0138762804315142, time=77.66845226287842s
Train epoch 8: top1%=0.06800271570682526, top2%=0.11908967047929764, top3%=0.16793477535247803, top4%=0.211480975151062, top5%=0.2506793439388275, loss=0.013697954186278841, time=78.82841110229492s
Train epoch 9: top1%=0.07221467047929764, top2%=0.13063858449459076, top3%=0.18389944732189178, top4%=0.2315896600484848, top5%=0.2769021689891815, loss=0.013451480557737143, time=78.0463376045227s
Train epoch 10: top1%=0.10013586282730103, top2%=0.1767662912607193, top3%=0.23947009444236755, top4%=0.2900135815143585, top5%=0.3360733687877655, loss=0.01331988446738409, time=77.41534566879272s
Train epoch 11: top1%=0.09748640656471252, top2%=0.1717391163110733, top3%=0.23335596919059753, top4%=0.285122275352478, top5%=0.33016303181648254, loss=0.013162736238344856, time=78.4416561126709s
Train epoch 12: top1%=0.09476901590824127, top2%=0.15713314712047577, top3%=0.21202445030212402, top4%=0.2607336938381195, top5%=0.30434781312942505, loss=0.012920137818740763, time=78.11073112487793s
Train epoch 13: top1%=0.13179346919059753, top2%=0.21474184095859528, top3%=0.2777853012084961, top4%=0.33349183201789856, top5%=0.3789401948451996, loss=0.012528105258293773, time=78.39959621429443s
Train epoch 14: top1%=0.11107336729764938, top2%=0.17961955070495605, top3%=0.2342391163110733, top4%=0.27771738171577454, top5%=0.3172554075717926, loss=0.012248824876935585, time=77.7008364200592s
Train epoch 15: top1%=0.14952445030212402, top2%=0.2310461848974228, top3%=0.2939537763595581, top4%=0.3438858389854431, top5%=0.3870244324207306, loss=0.011834584435691005, time=78.48863959312439s
Train epoch 16: top1%=0.20292118191719055, top2%=0.2975543439388275, top3%=0.36684781312942505, top4%=0.4203804135322571, top5%=0.46365487575531006, loss=0.011361498126517171, time=78.69227480888367s
Train epoch 17: top1%=0.21100541949272156, top2%=0.305774450302124, top3%=0.3743206262588501, top4%=0.42785322666168213, top5%=0.4687499701976776, loss=0.011245035007596016, time=77.5662591457367s
Train epoch 18: top1%=0.25788041949272156, top2%=0.3673233389854431, top3%=0.4316575825214386, top4%=0.4811820387840271, top5%=0.5261548757553101, loss=0.011016255762913953, time=77.8688313961029s
Train epoch 19: top1%=0.25611412525177, top2%=0.3430706262588501, top3%=0.4037363827228546, top4%=0.44816574454307556, top5%=0.48573368787765503, loss=0.010160408962679945, time=77.75110006332397s
Train epoch 20: top1%=0.27377715706825256, top2%=0.362975537776947, top3%=0.42085596919059753, top4%=0.4667798578739166, top5%=0.5054347515106201, loss=0.010136399839235389, time=78.47095918655396s
Train epoch 21: top1%=0.29402172565460205, top2%=0.371059775352478, top3%=0.4196331202983856, top4%=0.45658963918685913, top5%=0.4868885576725006, loss=0.009080627099003482, time=78.02440142631531s
Train epoch 22: top1%=0.337024450302124, top2%=0.3991168439388275, top3%=0.4397418200969696, top4%=0.4718070328235626, top5%=0.4998641014099121, loss=0.008234029157978037, time=77.90082168579102s
Train epoch 23: top1%=0.35040760040283203, top2%=0.4228260815143585, top3%=0.4737771451473236, top4%=0.508899450302124, top5%=0.5398097634315491, loss=0.008310118382391722, time=77.52515721321106s
Train epoch 24: top1%=0.3846467137336731, top2%=0.45978260040283203, top3%=0.505842387676239, top4%=0.540421187877655, top5%=0.5680027008056641, loss=0.008531164790949095, time=78.15909504890442s
Train epoch 25: top1%=0.35135868191719055, top2%=0.42656248807907104, top3%=0.47486409544944763, top4%=0.511684775352478, top5%=0.5445652008056641, loss=0.008374816657084486, time=78.31572103500366s
Train epoch 26: top1%=0.4454483389854431, top2%=0.523097813129425, top3%=0.5688179135322571, top4%=0.6050271391868591, top5%=0.6350542902946472, loss=0.008567066280090291, time=78.17067408561707s
Train epoch 27: top1%=0.40244564414024353, top2%=0.4679347574710846, top3%=0.507201075553894, top4%=0.5398097634315491, top5%=0.5711956024169922, loss=0.008201589645898861, time=78.58740282058716s
Train epoch 28: top1%=0.38960596919059753, top2%=0.4626358449459076, top3%=0.508084237575531, top4%=0.5423233509063721, top5%=0.5707880258560181, loss=0.00845804037121327, time=78.24655079841614s
Train epoch 29: top1%=0.3866168260574341, top2%=0.4506113827228546, top3%=0.4892662763595581, top4%=0.5216711759567261, top5%=0.5491847395896912, loss=0.007811567045586265, time=78.5976972579956s
Train epoch 30: top1%=0.4125679135322571, top2%=0.47105976939201355, top3%=0.509442925453186, top4%=0.539877712726593, top5%=0.5671195387840271, loss=0.0075499101258490395, time=78.01449012756348s
Train epoch 31: top1%=0.4180026948451996, top2%=0.4843749701976776, top3%=0.5268341898918152, top4%=0.5603260397911072, top5%=0.588111400604248, loss=0.007829519008974667, time=77.71289420127869s
Train epoch 32: top1%=0.4175950884819031, top2%=0.4871602952480316, top3%=0.5301629900932312, top4%=0.561616837978363, top5%=0.588383138179779, loss=0.007638194549666798, time=77.9956705570221s
Train epoch 33: top1%=0.36963313817977905, top2%=0.44177988171577454, top3%=0.4867526888847351, top4%=0.5252717137336731, top5%=0.5583559274673462, loss=0.00779539911562334, time=78.65226626396179s
Train epoch 34: top1%=0.4491168260574341, top2%=0.528736412525177, top3%=0.5764945149421692, top4%=0.6139265894889832, top5%=0.6466711759567261, loss=0.008426828751259524, time=78.56145715713501s
Train epoch 35: top1%=0.517255425453186, top2%=0.5720108151435852, top3%=0.6081521511077881, top4%=0.6382472515106201, top5%=0.6622282266616821, loss=0.007093027379849683, time=78.32560539245605s
Train epoch 36: top1%=0.45475542545318604, top2%=0.5159646272659302, top3%=0.5550271272659302, top4%=0.5847146511077881, top5%=0.6086956262588501, loss=0.007304871604656395, time=77.82184052467346s
Train epoch 37: top1%=0.4567934572696686, top2%=0.525067925453186, top3%=0.5689537525177002, top4%=0.6031249761581421, top5%=0.628872275352478, loss=0.0077313453647429526, time=78.0134847164154s
Train epoch 38: top1%=0.37255433201789856, top2%=0.44735053181648254, top3%=0.49809780716896057, top4%=0.533423900604248, top5%=0.5656249523162842, loss=0.007779413522423609, time=78.65959239006042s
Train epoch 39: top1%=0.4391983449459076, top2%=0.5118885636329651, top3%=0.557201087474823, top4%=0.5930026769638062, top5%=0.6190217137336731, loss=0.00752179770042067, time=78.03802537918091s
Train epoch 40: top1%=0.518410325050354, top2%=0.5851222276687622, top3%=0.6236412525177002, top4%=0.6549592018127441, top5%=0.6758831143379211, loss=0.007350359711310138, time=77.95491242408752s
Train epoch 41: top1%=0.44008150696754456, top2%=0.5101901888847351, top3%=0.551902174949646, top4%=0.5868885517120361, top5%=0.6126358509063721, loss=0.0073551660565578415, time=78.54792332649231s
Train epoch 42: top1%=0.5104619264602661, top2%=0.5774456262588501, top3%=0.6156929135322571, top4%=0.645584225654602, top5%=0.669633150100708, loss=0.007883139189494693, time=77.93827795982361s
Train epoch 43: top1%=0.399252712726593, top2%=0.46114128828048706, top3%=0.5029891133308411, top4%=0.53566575050354, top5%=0.564470112323761, loss=0.007113308099138996, time=77.89227247238159s
Train epoch 44: top1%=0.47065216302871704, top2%=0.5434103012084961, top3%=0.585326075553894, top4%=0.6205841898918152, top5%=0.6498640775680542, loss=0.0076533946654070975, time=77.42577719688416s
Train epoch 45: top1%=0.4303668141365051, top2%=0.48906248807907104, top3%=0.5294836759567261, top4%=0.5595787763595581, top5%=0.584510862827301, loss=0.007075454335173835, time=77.92560005187988s
