Train epoch 1: top1%=0.11131999641656876, top2%=0.21787600219249725, top3%=0.31997600197792053, top4%=0.42173999547958374, top5%=0.5229079723358154, loss=0.009373504704475403, time=1067.390662908554s
Train epoch 2: top1%=0.47911199927330017, top2%=0.6092559695243835, top3%=0.6924319863319397, top4%=0.7573360204696655, top5%=0.8109400272369385, loss=0.005663684461116791, time=1059.6335310935974s
Train epoch 3: top1%=0.48062801361083984, top2%=0.6109359860420227, top3%=0.6948480010032654, top4%=0.7604960203170776, top5%=0.8139680027961731, loss=0.005492033719301224, time=1062.7586107254028s
Train epoch 4: top1%=0.4703519940376282, top2%=0.6007120013237, top3%=0.6862199902534485, top4%=0.7528319954872131, top5%=0.8089479804039001, loss=0.005470718633413315, time=1060.4930028915405s
Train epoch 5: top1%=0.4950239956378937, top2%=0.6239680051803589, top3%=0.7055680155754089, top4%=0.769432008266449, top5%=0.8225280046463013, loss=0.0053948426678180695, time=1062.1501383781433s
Train epoch 6: top1%=0.47031599283218384, top2%=0.6034119725227356, top3%=0.6895440220832825, top4%=0.757095992565155, top5%=0.8126239776611328, loss=0.005445444153785705, time=1057.9402494430542s
Train epoch 7: top1%=0.47127199172973633, top2%=0.6039760112762451, top3%=0.6902199983596802, top4%=0.7577239871025085, top5%=0.813103973865509, loss=0.00542825760102272, time=1059.5167758464813s
Train epoch 8: top1%=0.4854600131511688, top2%=0.6174960136413574, top3%=0.7023800015449524, top4%=0.7671880125999451, top5%=0.8202000260353088, loss=0.005405971389770507, time=1063.4204082489014s
Train epoch 9: top1%=0.4704799950122833, top2%=0.6041679978370667, top3%=0.6911439895629883, top4%=0.7580519914627075, top5%=0.8130879998207092, loss=0.005409347018241882, time=1063.6906592845917s
Train epoch 10: top1%=0.4706079959869385, top2%=0.6046959757804871, top3%=0.6919919848442078, top4%=0.7588559985160828, top5%=0.8135679960250854, loss=0.0054053814113140105, time=1061.7087914943695s
Train epoch 11: top1%=0.47266000509262085, top2%=0.6037359833717346, top3%=0.6891279816627502, top4%=0.7562599778175354, top5%=0.811851978302002, loss=0.005360066679477691, time=1061.1912455558777s
Train epoch 12: top1%=0.4667159914970398, top2%=0.6011199951171875, top3%=0.6893119812011719, top4%=0.757099986076355, top5%=0.8121119737625122, loss=0.005445231944322586, time=1059.2713916301727s
Train epoch 13: top1%=0.4673759937286377, top2%=0.6022760272026062, top3%=0.69023597240448, top4%=0.7573559880256653, top5%=0.813476026058197, loss=0.0053931960654258725, time=1061.7983231544495s
Train epoch 14: top1%=0.467087984085083, top2%=0.603119969367981, top3%=0.6923919916152954, top4%=0.7604039907455444, top5%=0.815447986125946, loss=0.005462945653676987, time=1060.1148941516876s
Train epoch 15: top1%=0.46352800726890564, top2%=0.5983840227127075, top3%=0.6854439973831177, top4%=0.7537800073623657, top5%=0.8104760050773621, loss=0.00537873804140091, time=1058.8346636295319s
Train epoch 16: top1%=0.4779359996318817, top2%=0.6106359958648682, top3%=0.6971319913864136, top4%=0.7639520168304443, top5%=0.8180879950523376, loss=0.005386797211885452, time=1056.8334369659424s
Train epoch 17: top1%=0.4814319908618927, top2%=0.6135079860687256, top3%=0.6992719769477844, top4%=0.7655079960823059, top5%=0.8193960189819336, loss=0.005361375464439392, time=1060.2329001426697s
Train epoch 18: top1%=0.47919198870658875, top2%=0.6117200255393982, top3%=0.6987040042877197, top4%=0.7642959952354431, top5%=0.8184959888458252, loss=0.005385515469789505, time=1060.8019516468048s
Train epoch 19: top1%=0.45559999346733093, top2%=0.5916039943695068, top3%=0.6819080114364624, top4%=0.7506120204925537, top5%=0.8079760074615479, loss=0.005430348089933396, time=1059.9619314670563s
Train epoch 20: top1%=0.4795039892196655, top2%=0.6135919690132141, top3%=0.7006319761276245, top4%=0.7662439942359924, top5%=0.8204159736633301, loss=0.0053644797835350035, time=1062.7346761226654s
Train epoch 21: top1%=0.473471999168396, top2%=0.6104440093040466, top3%=0.6980239748954773, top4%=0.7644680142402649, top5%=0.8199120163917542, loss=0.005392301421165467, time=1061.3277881145477s
Train epoch 22: top1%=0.46885600686073303, top2%=0.6024159789085388, top3%=0.6889600157737732, top4%=0.755623996257782, top5%=0.8119120001792908, loss=0.005310248528957367, time=1058.7931895256042s
Train epoch 23: top1%=0.48496800661087036, top2%=0.6187440156936646, top3%=0.7040200233459473, top4%=0.7689039707183838, top5%=0.822659969329834, loss=0.005384066791534424, time=1057.9860696792603s
Train epoch 24: top1%=0.470876008272171, top2%=0.6067919731140137, top3%=0.6952360272407532, top4%=0.7618759870529175, top5%=0.8176040053367615, loss=0.005353339241981506, time=1064.0043063163757s
Train epoch 25: top1%=0.47960400581359863, top2%=0.6152520179748535, top3%=0.7026199698448181, top4%=0.7686799764633179, top5%=0.8230119943618774, loss=0.005387580602645874, time=1059.8374836444855s
Train epoch 26: top1%=0.46806401014328003, top2%=0.6057400107383728, top3%=0.6952880024909973, top4%=0.7623279690742493, top5%=0.8182399868965149, loss=0.005406328278779984, time=1060.2458682060242s
Train epoch 27: top1%=0.4544920027256012, top2%=0.5945119857788086, top3%=0.6850720047950745, top4%=0.7544119954109192, top5%=0.8106439709663391, loss=0.005352776639223099, time=1060.6034638881683s
Train epoch 28: top1%=0.4816040098667145, top2%=0.6158959865570068, top3%=0.7019039988517761, top4%=0.7675840258598328, top5%=0.8207679986953735, loss=0.005319274433851242, time=1060.098563671112s
Train epoch 29: top1%=0.47646400332450867, top2%=0.6137959957122803, top3%=0.7028279900550842, top4%=0.7692840099334717, top5%=0.8237159848213196, loss=0.005347792200565338, time=1062.998942375183s
Train epoch 30: top1%=0.48310399055480957, top2%=0.619484007358551, top3%=0.7078959941864014, top4%=0.7733520269393921, top5%=0.82669997215271, loss=0.005337009744882584, time=1061.662395477295s
Train epoch 31: top1%=0.4879719913005829, top2%=0.620199978351593, top3%=0.7044600248336792, top4%=0.7698559761047363, top5%=0.8223279714584351, loss=0.005264547128677368, time=1063.2641398906708s
Train epoch 32: top1%=0.4841639995574951, top2%=0.6210319995880127, top3%=0.7075319886207581, top4%=0.7727640271186829, top5%=0.825543999671936, loss=0.005324861869335174, time=1062.7491643428802s
Train epoch 33: top1%=0.4874520003795624, top2%=0.6201040148735046, top3%=0.7053599953651428, top4%=0.7703040242195129, top5%=0.8232399821281433, loss=0.005229734060764313, time=1061.6758267879486s
Train epoch 34: top1%=0.4860680103302002, top2%=0.6252639889717102, top3%=0.7127360105514526, top4%=0.7780439853668213, top5%=0.8305479884147644, loss=0.005337179546833038, time=1061.9294564723969s
Train epoch 35: top1%=0.4799639880657196, top2%=0.6163960099220276, top3%=0.7046560049057007, top4%=0.7712640166282654, top5%=0.8250839710235596, loss=0.005288388750791549, time=1059.8665933609009s
Train epoch 36: top1%=0.47065600752830505, top2%=0.6077679991722107, top3%=0.6961759924888611, top4%=0.7636200189590454, top5%=0.8179399967193604, loss=0.005276644460916519, time=1062.1409363746643s
Train epoch 37: top1%=0.4689599871635437, top2%=0.6068679690361023, top3%=0.6958720088005066, top4%=0.7640519738197327, top5%=0.818988025188446, loss=0.0052506118803024296, time=1064.1993753910065s
Train epoch 38: top1%=0.4725840091705322, top2%=0.6071720123291016, top3%=0.6944760084152222, top4%=0.7619119882583618, top5%=0.8166959881782532, loss=0.005210915541410446, time=1061.7258143424988s
Train epoch 39: top1%=0.4756680130958557, top2%=0.6153320074081421, top3%=0.7049319744110107, top4%=0.7723919749259949, top5%=0.8263440132141113, loss=0.005310000651121139, time=1058.6613235473633s
Train epoch 40: top1%=0.49296799302101135, top2%=0.6302480101585388, top3%=0.7174839973449707, top4%=0.7824159860610962, top5%=0.8344799876213074, loss=0.005295750524044037, time=1061.652280330658s
Train epoch 41: top1%=0.4683479964733124, top2%=0.6078280210494995, top3%=0.6989079713821411, top4%=0.767844021320343, top5%=0.8230040073394775, loss=0.0052768570582866665, time=1060.8696539402008s
Train epoch 42: top1%=0.48198801279067993, top2%=0.6189640164375305, top3%=0.705672025680542, top4%=0.7719720005989075, top5%=0.8261240124702454, loss=0.005223172981023788, time=1063.8358030319214s
Train epoch 43: top1%=0.4876039922237396, top2%=0.6237239837646484, top3%=0.7113839983940125, top4%=0.7772039771080017, top5%=0.8290479779243469, loss=0.005233656335353851, time=1058.3382544517517s
Train epoch 44: top1%=0.46920400857925415, top2%=0.6091840267181396, top3%=0.7002679705619812, top4%=0.7692800164222717, top5%=0.8244400024414062, loss=0.005297101067781448, time=1060.32044506073s
Train epoch 45: top1%=0.4711799919605255, top2%=0.6085039973258972, top3%=0.6999679803848267, top4%=0.7680720090866089, top5%=0.8227319717407227, loss=0.0052391295294761655, time=1067.377970457077s
Train epoch 46: top1%=0.49363601207733154, top2%=0.6315839886665344, top3%=0.7184879779815674, top4%=0.7831119894981384, top5%=0.8345320224761963, loss=0.0052555670053958895, time=1062.8085124492645s
Train epoch 47: top1%=0.497732013463974, top2%=0.634663999080658, top3%=0.7213280200958252, top4%=0.7852839827537537, top5%=0.8370320200920105, loss=0.005265687134027481, time=1063.6646690368652s
Train epoch 48: top1%=0.48561200499534607, top2%=0.6201639771461487, top3%=0.7066839933395386, top4%=0.7722119688987732, top5%=0.8249880075454712, loss=0.005165125825643539, time=1061.479079246521s
