Train epoch 1: top1%=0.01013999991118908, top2%=0.019724000245332718, top3%=0.029664000496268272, top4%=0.03952400013804436, top5%=0.049235999584198, loss=0.01863900584602356, time=106.51333951950073s
Train epoch 2: top1%=0.030508000403642654, top2%=0.056143999099731445, top3%=0.0785679966211319, top4%=0.09945999830961227, top5%=0.11832799762487411, loss=0.017440186140060425, time=159.53414273262024s
Train epoch 3: top1%=0.03560800105333328, top2%=0.06436800211668015, top3%=0.08987200260162354, top4%=0.11326800286769867, top5%=0.13437999784946442, loss=0.017243701539993286, time=170.73807048797607s
Train epoch 4: top1%=0.03791600093245506, top2%=0.06743200123310089, top3%=0.09285199642181396, top4%=0.11615999788045883, top5%=0.13769200444221497, loss=0.017150437383651733, time=171.22379970550537s
Train epoch 5: top1%=0.039340000599622726, top2%=0.07041600346565247, top3%=0.0975240021944046, top4%=0.12157200276851654, top5%=0.14404399693012238, loss=0.01708867488861084, time=171.0436155796051s
Train epoch 6: top1%=0.040644001215696335, top2%=0.07214400172233582, top3%=0.09921599924564362, top4%=0.12331199645996094, top5%=0.14569200575351715, loss=0.01703329691314697, time=170.96449947357178s
Train epoch 7: top1%=0.04259999841451645, top2%=0.07481600344181061, top3%=0.10188800096511841, top4%=0.12636800110340118, top5%=0.14878399670124054, loss=0.016979199823379518, time=171.07263255119324s
Train epoch 8: top1%=0.043327998369932175, top2%=0.07621199637651443, top3%=0.10474400222301483, top4%=0.12943199276924133, top5%=0.15210400521755219, loss=0.016936181396484375, time=171.29127049446106s
Train epoch 9: top1%=0.04692799970507622, top2%=0.08218000084161758, top3%=0.11179599910974503, top4%=0.1380240023136139, top5%=0.16182799637317657, loss=0.016899738847732545, time=171.20200204849243s
Train epoch 10: top1%=0.046879999339580536, top2%=0.0814879983663559, top3%=0.11049199849367142, top4%=0.13605600595474243, top5%=0.15902799367904663, loss=0.016837493658065795, time=171.25624775886536s
Train epoch 11: top1%=0.05127200111746788, top2%=0.08781599998474121, top3%=0.11873199790716171, top4%=0.14615599811077118, top5%=0.17046000063419342, loss=0.016787161548614503, time=171.08773183822632s
