Train epoch 1: top1%=0.21514999866485596, top2%=0.3871749937534332, top3%=0.5209999680519104, top4%=0.6359999775886536, top5%=0.7288249731063843, loss=0.06700146640837193, time=575.6535530090332s
Train epoch 2: top1%=0.20729999244213104, top2%=0.3856250047683716, top3%=0.5237500071525574, top4%=0.6407249569892883, top5%=0.7355749607086182, loss=0.06570343846976757, time=576.4820420742035s
Train epoch 3: top1%=0.2094999998807907, top2%=0.39237499237060547, top3%=0.5343499779701233, top4%=0.6512249708175659, top5%=0.7448499798774719, loss=0.06505300843417644, time=576.9649765491486s
Train epoch 4: top1%=0.20454999804496765, top2%=0.3859249949455261, top3%=0.5280749797821045, top4%=0.6484000086784363, top5%=0.7415750026702881, loss=0.06526480237245559, time=576.6058356761932s
Train epoch 5: top1%=0.1930750012397766, top2%=0.36922499537467957, top3%=0.5042250156402588, top4%=0.6228249669075012, top5%=0.7174749970436096, loss=0.0661467709749937, time=577.2421476840973s
Train epoch 6: top1%=0.18799999356269836, top2%=0.35989999771118164, top3%=0.49424999952316284, top4%=0.6119999885559082, top5%=0.7095499634742737, loss=0.06667942178845405, time=576.9537763595581s
Train epoch 7: top1%=0.18412499129772186, top2%=0.35359999537467957, top3%=0.485649973154068, top4%=0.6026749610900879, top5%=0.696649968624115, loss=0.0670638674736023, time=576.3124179840088s
Train epoch 8: top1%=0.16437499225139618, top2%=0.31369999051094055, top3%=0.4391250014305115, top4%=0.5569249987602234, top5%=0.6548500061035156, loss=0.06895923559069633, time=576.0858557224274s
Train epoch 9: top1%=0.17012499272823334, top2%=0.3267499804496765, top3%=0.4583999812602997, top4%=0.5706749558448792, top5%=0.6659500002861023, loss=0.06861049586236477, time=577.6039595603943s
Train epoch 10: top1%=0.16512499749660492, top2%=0.319350004196167, top3%=0.4468749761581421, top4%=0.562874972820282, top5%=0.661674976348877, loss=0.06875906594991683, time=576.9538152217865s
Train epoch 11: top1%=0.17132499814033508, top2%=0.32272499799728394, top3%=0.45272499322891235, top4%=0.5700500011444092, top5%=0.6703499555587769, loss=0.06837821417450905, time=576.7190601825714s
Train epoch 12: top1%=0.18185000121593475, top2%=0.3429499864578247, top3%=0.47282499074935913, top4%=0.5907750129699707, top5%=0.6884749531745911, loss=0.06740473356246948, time=576.7928144931793s
Train epoch 13: top1%=0.17354999482631683, top2%=0.3278000056743622, top3%=0.45374998450279236, top4%=0.5700749754905701, top5%=0.6680749654769897, loss=0.06837243760526181, time=576.9339756965637s
Train epoch 14: top1%=0.18024998903274536, top2%=0.34277498722076416, top3%=0.4699999988079071, top4%=0.5856999754905701, top5%=0.6811000108718872, loss=0.06789054503142834, time=577.3897793292999s
Train epoch 15: top1%=0.1765500009059906, top2%=0.33984997868537903, top3%=0.46687498688697815, top4%=0.5830999612808228, top5%=0.6818249821662903, loss=0.0678783687531948, time=579.3661563396454s
Train epoch 16: top1%=0.1788249909877777, top2%=0.33844998478889465, top3%=0.4684000015258789, top4%=0.5808500051498413, top5%=0.6796249747276306, loss=0.06791891179084777, time=577.4254541397095s
Train epoch 17: top1%=0.17739999294281006, top2%=0.33797499537467957, top3%=0.46445000171661377, top4%=0.5778749585151672, top5%=0.6771999597549438, loss=0.06793462029397487, time=577.4246442317963s
Train epoch 18: top1%=0.18547499179840088, top2%=0.3500500023365021, top3%=0.48249998688697815, top4%=0.593999981880188, top5%=0.692924976348877, loss=0.06741597041785717, time=576.9708564281464s
Train epoch 19: top1%=0.18102499842643738, top2%=0.34357500076293945, top3%=0.47084999084472656, top4%=0.5851249694824219, top5%=0.684149980545044, loss=0.06786000448167324, time=577.2168083190918s
Train epoch 20: top1%=0.18449999392032623, top2%=0.3463749885559082, top3%=0.4776249825954437, top4%=0.5936999917030334, top5%=0.6924749612808228, loss=0.0674924354583025, time=577.2081301212311s
Train epoch 21: top1%=0.1881999969482422, top2%=0.3502500057220459, top3%=0.4821249842643738, top4%=0.5949249863624573, top5%=0.6922499537467957, loss=0.06752715030908585, time=577.0704920291901s
Train epoch 22: top1%=0.18459999561309814, top2%=0.3467499911785126, top3%=0.47609999775886536, top4%=0.5895999670028687, top5%=0.6899499893188477, loss=0.06754413286745549, time=577.3286414146423s
Train epoch 23: top1%=0.1912499964237213, top2%=0.35762497782707214, top3%=0.4912499785423279, top4%=0.6087499856948853, top5%=0.7036499977111816, loss=0.06684193575084209, time=576.7877817153931s
Train epoch 24: top1%=0.18427500128746033, top2%=0.35019999742507935, top3%=0.4842499792575836, top4%=0.5993250012397766, top5%=0.6941249966621399, loss=0.0672764004766941, time=576.627571105957s
Train epoch 25: top1%=0.18889999389648438, top2%=0.3570999801158905, top3%=0.48919999599456787, top4%=0.6060499548912048, top5%=0.7049999833106995, loss=0.06691313221156597, time=576.344571352005s
Train epoch 26: top1%=0.1722249984741211, top2%=0.32887500524520874, top3%=0.4577749967575073, top4%=0.5731499791145325, top5%=0.670574963092804, loss=0.06857432480752468, time=578.6337838172913s
Train epoch 27: top1%=0.1930750012397766, top2%=0.36010000109672546, top3%=0.49709999561309814, top4%=0.6152499914169312, top5%=0.7127000093460083, loss=0.06685419254004955, time=578.2076134681702s
Train epoch 28: top1%=0.19587498903274536, top2%=0.3662000000476837, top3%=0.5036749839782715, top4%=0.62152498960495, top5%=0.7158499956130981, loss=0.0665135480761528, time=578.2800877094269s
Train epoch 29: top1%=0.1976500004529953, top2%=0.3707999885082245, top3%=0.5098999738693237, top4%=0.6288749575614929, top5%=0.7209749817848206, loss=0.06634554392397404, time=577.9917821884155s
Train epoch 30: top1%=0.19249999523162842, top2%=0.36172500252723694, top3%=0.49492499232292175, top4%=0.6160749793052673, top5%=0.7124499678611755, loss=0.06669910815060139, time=578.623152256012s
Train epoch 31: top1%=0.1918250024318695, top2%=0.3606249988079071, top3%=0.49402499198913574, top4%=0.6109499931335449, top5%=0.7037749886512756, loss=0.06698560155630112, time=578.358273267746s
Train epoch 32: top1%=0.19177499413490295, top2%=0.35979998111724854, top3%=0.49480000138282776, top4%=0.6079249978065491, top5%=0.7053499817848206, loss=0.06703571402728557, time=578.4552760124207s
Train epoch 33: top1%=0.19852499663829803, top2%=0.3711499869823456, top3%=0.5065749883651733, top4%=0.6225749850273132, top5%=0.7169249653816223, loss=0.06643958101272583, time=578.5834002494812s
Train epoch 34: top1%=0.2019999921321869, top2%=0.37494999170303345, top3%=0.512374997138977, top4%=0.6311500072479248, top5%=0.7242499589920044, loss=0.06606390816569328, time=578.1665279865265s
Train epoch 35: top1%=0.20037499070167542, top2%=0.37234997749328613, top3%=0.5089749693870544, top4%=0.6286249756813049, top5%=0.7232249975204468, loss=0.06613486039340497, time=577.9827244281769s
Train epoch 36: top1%=0.19254998862743378, top2%=0.36002498865127563, top3%=0.49812498688697815, top4%=0.6173499822616577, top5%=0.7101749777793884, loss=0.06671245228648186, time=577.6119496822357s
Train epoch 37: top1%=0.19349999725818634, top2%=0.3655499815940857, top3%=0.5013499855995178, top4%=0.6204749941825867, top5%=0.7119500041007996, loss=0.06660602528452873, time=577.6001410484314s
Train epoch 38: top1%=0.20262499153614044, top2%=0.3779999911785126, top3%=0.5137749910354614, top4%=0.6315000057220459, top5%=0.7255249619483948, loss=0.06597620144486427, time=578.4076099395752s
