Train epoch 1: top1%=0.10352999716997147, top2%=0.2011599987745285, top3%=0.2838066518306732, top4%=0.36686334013938904, top5%=0.48560333251953125, loss=0.009219541450341543, time=148.3403708934784s
Train epoch 2: top1%=0.13993999361991882, top2%=0.2548733353614807, top3%=0.3616366684436798, top4%=0.4655666649341583, top5%=0.5642633438110352, loss=0.008868217107454935, time=204.6447319984436s
Train epoch 3: top1%=0.1595066636800766, top2%=0.28256332874298096, top3%=0.39442333579063416, top4%=0.4994266629219055, top5%=0.5974133610725403, loss=0.008742959965864817, time=205.8561406135559s
Train epoch 4: top1%=0.23705333471298218, top2%=0.3834399878978729, top3%=0.5036066770553589, top4%=0.604836642742157, top5%=0.6914233565330505, loss=0.008100080796082815, time=206.02385067939758s
Train epoch 5: top1%=0.27590665221214294, top2%=0.42949000000953674, top3%=0.5468166470527649, top4%=0.6412333250045776, top5%=0.721976637840271, loss=0.007644238948027293, time=206.1026484966278s
Train epoch 6: top1%=0.30410999059677124, top2%=0.4564700126647949, top3%=0.5687466859817505, top4%=0.6595399975776672, top5%=0.7364633083343506, loss=0.007323886219660441, time=206.22760796546936s
Train epoch 7: top1%=0.33022332191467285, top2%=0.48568999767303467, top3%=0.5955166816711426, top4%=0.6822233200073242, top5%=0.7547733187675476, loss=0.007045978045860927, time=206.17479491233826s
Train epoch 8: top1%=0.34358999133110046, top2%=0.49704334139823914, top3%=0.6043999791145325, top4%=0.6883333325386047, top5%=0.758953332901001, loss=0.006850297851959865, time=206.3687117099762s
Train epoch 9: top1%=0.36364999413490295, top2%=0.5159933567047119, top3%=0.6191733479499817, top4%=0.6997033357620239, top5%=0.7671999931335449, loss=0.006666577074130376, time=206.24038767814636s
Train epoch 10: top1%=0.36546000838279724, top2%=0.5155500173568726, top3%=0.6182933449745178, top4%=0.6982433199882507, top5%=0.7651900053024292, loss=0.006515425173441569, time=206.00018167495728s
Train epoch 11: top1%=0.380896657705307, top2%=0.5285933613777161, top3%=0.6275733113288879, top4%=0.705049991607666, top5%=0.7704200148582458, loss=0.006338095075686773, time=205.9597828388214s
Train epoch 12: top1%=0.4018999934196472, top2%=0.5503866672515869, top3%=0.6463900208473206, top4%=0.7221199870109558, top5%=0.7845466732978821, loss=0.006229033848841985, time=206.00446796417236s
Train epoch 13: top1%=0.4141533374786377, top2%=0.5557766556739807, top3%=0.6487399935722351, top4%=0.7220166921615601, top5%=0.7833499908447266, loss=0.006002981746196747, time=206.65517282485962s
Train epoch 14: top1%=0.42524999380111694, top2%=0.5673499703407288, top3%=0.6582599878311157, top4%=0.7301233410835266, top5%=0.7902200222015381, loss=0.005920703552563985, time=206.02426719665527s
Train epoch 15: top1%=0.44122666120529175, top2%=0.5837399959564209, top3%=0.6741233468055725, top4%=0.7433266639709473, top5%=0.8012466430664062, loss=0.0058527482124169665, time=206.34983253479004s
Train epoch 16: top1%=0.44273000955581665, top2%=0.5834766626358032, top3%=0.6729366779327393, top4%=0.7418933510780334, top5%=0.7995233535766602, loss=0.005689841134349505, time=206.01859307289124s
Train epoch 17: top1%=0.4523533284664154, top2%=0.5935999751091003, top3%=0.6821033358573914, top4%=0.7496299743652344, top5%=0.8058466911315918, loss=0.00563247533818086, time=205.97246742248535s
Train epoch 18: top1%=0.4615600109100342, top2%=0.6013133525848389, top3%=0.6886933445930481, top4%=0.755649983882904, top5%=0.8100333213806152, loss=0.005559718963305155, time=205.89071488380432s
Train epoch 19: top1%=0.44809332489967346, top2%=0.5913066864013672, top3%=0.6814766526222229, top4%=0.7504199743270874, top5%=0.8073233366012573, loss=0.005551811117529869, time=206.53752446174622s
Train epoch 20: top1%=0.46614667773246765, top2%=0.6116799712181091, top3%=0.7007733583450317, top4%=0.766539990901947, top5%=0.8204900026321411, loss=0.005551764208277066, time=206.4860498905182s
Train epoch 21: top1%=0.4491133391857147, top2%=0.5921833515167236, top3%=0.6822633147239685, top4%=0.7506466507911682, top5%=0.8069599866867065, loss=0.00543063077946504, time=206.32177114486694s
Train epoch 22: top1%=0.4586266577243805, top2%=0.6056633591651917, top3%=0.6953566670417786, top4%=0.7626933455467224, top5%=0.8175133466720581, loss=0.005470263772209485, time=206.57652831077576s
Train epoch 23: top1%=0.46565333008766174, top2%=0.6107866764068604, top3%=0.6987166404724121, top4%=0.7653766870498657, top5%=0.8189966678619385, loss=0.005390210680564244, time=206.37622904777527s
Train epoch 24: top1%=0.4614599943161011, top2%=0.6077399849891663, top3%=0.6967300176620483, top4%=0.7627766728401184, top5%=0.8176966905593872, loss=0.005336745905280113, time=206.03695726394653s
Train epoch 25: top1%=0.46635666489601135, top2%=0.6142233610153198, top3%=0.7028700113296509, top4%=0.7689966559410095, top5%=0.8226799964904785, loss=0.0053439771181344985, time=206.4981882572174s
Train epoch 26: top1%=0.4700033366680145, top2%=0.615090012550354, top3%=0.7032433152198792, top4%=0.7687766551971436, top5%=0.8216000199317932, loss=0.005303397845427195, time=206.4609203338623s
Train epoch 27: top1%=0.49029332399368286, top2%=0.6353033185005188, top3%=0.7206799983978271, top4%=0.7832033038139343, top5%=0.8328333497047424, loss=0.0053121550951401395, time=205.8762912750244s
Train epoch 28: top1%=0.48073333501815796, top2%=0.6262499690055847, top3%=0.7116400003433228, top4%=0.7754200100898743, top5%=0.8272899985313416, loss=0.005231751787861188, time=206.5472424030304s
Train epoch 29: top1%=0.46172332763671875, top2%=0.6107000112533569, top3%=0.7006233334541321, top4%=0.7668266892433167, top5%=0.8202433586120605, loss=0.005236178282896678, time=206.24959063529968s
Train epoch 30: top1%=0.46666333079338074, top2%=0.6140533089637756, top3%=0.7017766833305359, top4%=0.7673500180244446, top5%=0.8204766511917114, loss=0.005236245733300845, time=206.38037133216858s
