Train epoch 1: top1%=0.05207999795675278, top2%=0.08664999902248383, top3%=0.11351999640464783, top4%=0.13861998915672302, top5%=0.159620001912117, loss=0.07465893084287643, time=128.28877210617065s
Train epoch 2: top1%=0.10772999376058578, top2%=0.16772998869419098, top3%=0.21271999180316925, top4%=0.2505199909210205, top5%=0.2819499969482422, loss=0.06711392750263215, time=127.766268491745s
Train epoch 3: top1%=0.1360199898481369, top2%=0.20645000040531158, top3%=0.2565000057220459, top4%=0.2964499890804291, top5%=0.33030998706817627, loss=0.06399303542137146, time=127.99772882461548s
Train epoch 4: top1%=0.15618999302387238, top2%=0.23180998861789703, top3%=0.2861799895763397, top4%=0.3292999863624573, top5%=0.3648799955844879, loss=0.061623809509277344, time=127.97378206253052s
Train epoch 5: top1%=0.17533999681472778, top2%=0.2569600045681, top3%=0.31401997804641724, top4%=0.3594000041484833, top5%=0.3959699869155884, loss=0.05963595944881439, time=127.49033975601196s
Train epoch 6: top1%=0.19096998870372772, top2%=0.27737998962402344, top3%=0.33500999212265015, top4%=0.3804699778556824, top5%=0.41836997866630554, loss=0.05805192200422287, time=127.48199033737183s
Train epoch 7: top1%=0.20549999177455902, top2%=0.295879989862442, top3%=0.3562299907207489, top4%=0.4017300009727478, top5%=0.43869999051094055, loss=0.0566810453248024, time=127.45109534263611s
Train epoch 8: top1%=0.2184000015258789, top2%=0.3104400038719177, top3%=0.37303999066352844, top4%=0.41981998085975647, top5%=0.4582599997520447, loss=0.055324476704597475, time=127.52494192123413s
Train epoch 9: top1%=0.23186999559402466, top2%=0.32690000534057617, top3%=0.38968998193740845, top4%=0.43726998567581177, top5%=0.4746299982070923, loss=0.054098746540546416, time=127.44686484336853s
Train epoch 10: top1%=0.24160999059677124, top2%=0.3399199843406677, top3%=0.40428999066352844, top4%=0.452239990234375, top5%=0.4911099970340729, loss=0.0531081343960762, time=127.35908961296082s
Train epoch 11: top1%=0.2515600025653839, top2%=0.3507799804210663, top3%=0.41495999693870544, top4%=0.46192997694015503, top5%=0.5008900165557861, loss=0.052226832027435305, time=127.43290758132935s
Train epoch 12: top1%=0.2592499852180481, top2%=0.3602299988269806, top3%=0.42479997873306274, top4%=0.47293999791145325, top5%=0.5109999775886536, loss=0.05155899195432663, time=127.4268901348114s
Train epoch 13: top1%=0.26743000745773315, top2%=0.3693599998950958, top3%=0.43434998393058777, top4%=0.4822099804878235, top5%=0.519569993019104, loss=0.050798116731643674, time=127.1792802810669s
Train epoch 14: top1%=0.2747800052165985, top2%=0.3781999945640564, top3%=0.44325998425483704, top4%=0.4907199740409851, top5%=0.5302599668502808, loss=0.050078758137226106, time=126.698082447052s
Train epoch 15: top1%=0.2827099859714508, top2%=0.3872700035572052, top3%=0.4540199935436249, top4%=0.5018399953842163, top5%=0.5400599837303162, loss=0.04936758361816406, time=126.79648041725159s
Train epoch 16: top1%=0.2884399890899658, top2%=0.39615997672080994, top3%=0.46309998631477356, top4%=0.5108099579811096, top5%=0.5485799908638, loss=0.0487596241402626, time=127.52126669883728s
Train epoch 17: top1%=0.2943499982357025, top2%=0.40157997608184814, top3%=0.46841999888420105, top4%=0.5168899893760681, top5%=0.5545899868011475, loss=0.04820377985715866, time=127.52515840530396s
Train epoch 18: top1%=0.3025999963283539, top2%=0.4112499952316284, top3%=0.4792799949645996, top4%=0.5280900001525879, top5%=0.5658699870109558, loss=0.04756757093667984, time=127.53987765312195s
Train epoch 19: top1%=0.30622997879981995, top2%=0.41762998700141907, top3%=0.4860599935054779, top4%=0.5344699621200562, top5%=0.5725600123405457, loss=0.04703241049051285, time=127.49747562408447s
Train epoch 20: top1%=0.3131999969482422, top2%=0.4238300025463104, top3%=0.49150997400283813, top4%=0.5404700040817261, top5%=0.5790299773216248, loss=0.046500522503852844, time=127.53391909599304s
Train epoch 21: top1%=0.31689000129699707, top2%=0.4289499819278717, top3%=0.49684998393058777, top4%=0.5459100008010864, top5%=0.5845499634742737, loss=0.046145523777008056, time=127.56197476387024s
Train epoch 22: top1%=0.32308998703956604, top2%=0.43572998046875, top3%=0.5031499862670898, top4%=0.5522699952125549, top5%=0.5902000069618225, loss=0.045594252796173095, time=127.61330842971802s
Train epoch 23: top1%=0.32885000109672546, top2%=0.44171997904777527, top3%=0.5103399753570557, top4%=0.5605800151824951, top5%=0.5971499681472778, loss=0.045234253599643705, time=127.48796558380127s
Train epoch 24: top1%=0.33133000135421753, top2%=0.4444099962711334, top3%=0.5132399797439575, top4%=0.5616199970245361, top5%=0.5997799634933472, loss=0.04491543895959854, time=127.47590208053589s
Train epoch 25: top1%=0.33504998683929443, top2%=0.44988998770713806, top3%=0.5192800164222717, top4%=0.5675199627876282, top5%=0.6056299805641174, loss=0.04460429889202118, time=127.90902280807495s
Train epoch 26: top1%=0.33809998631477356, top2%=0.4547500014305115, top3%=0.5233100056648254, top4%=0.5717899799346924, top5%=0.6090999841690063, loss=0.044242045686244964, time=127.94717645645142s
Train epoch 27: top1%=0.3423199951648712, top2%=0.45802000164985657, top3%=0.5279200077056885, top4%=0.5771299600601196, top5%=0.6138699650764465, loss=0.043956542024612424, time=127.6820969581604s
Train epoch 28: top1%=0.3457299768924713, top2%=0.4622899889945984, top3%=0.530709981918335, top4%=0.5798699855804443, top5%=0.6173999905586243, loss=0.043586375629901884, time=126.95983123779297s
Train epoch 29: top1%=0.3473599851131439, top2%=0.4643999934196472, top3%=0.5341799855232239, top4%=0.5820199847221375, top5%=0.620169997215271, loss=0.04338820827960968, time=127.65389776229858s
Train epoch 30: top1%=0.35203999280929565, top2%=0.46698999404907227, top3%=0.5364800095558167, top4%=0.5853700041770935, top5%=0.6238399744033813, loss=0.04316526645898819, time=127.8497314453125s
Train epoch 31: top1%=0.3552599847316742, top2%=0.4725099802017212, top3%=0.5414999723434448, top4%=0.5910699963569641, top5%=0.6299999952316284, loss=0.04276677533745766, time=127.58707427978516s
Train epoch 32: top1%=0.35731998085975647, top2%=0.47522997856140137, top3%=0.5451200008392334, top4%=0.5933299660682678, top5%=0.6310499906539917, loss=0.04255778970837593, time=127.59555578231812s
Train epoch 33: top1%=0.3586899936199188, top2%=0.4783399999141693, top3%=0.5485900044441223, top4%=0.5968300104141235, top5%=0.6344199776649475, loss=0.042327995067834856, time=127.51713061332703s
Train epoch 34: top1%=0.36441999673843384, top2%=0.4822399914264679, top3%=0.5517100095748901, top4%=0.6001699566841125, top5%=0.6367999911308289, loss=0.04204193423867226, time=127.55107474327087s
Train epoch 35: top1%=0.36563998460769653, top2%=0.48332998156547546, top3%=0.5533300042152405, top4%=0.6016499996185303, top5%=0.6392499804496765, loss=0.04185192338585854, time=127.50371813774109s
Train epoch 36: top1%=0.3683300018310547, top2%=0.4868899881839752, top3%=0.5578399896621704, top4%=0.6061699986457825, top5%=0.6431599855422974, loss=0.04166827556610107, time=127.39977645874023s
Train epoch 37: top1%=0.3712500035762787, top2%=0.48889997601509094, top3%=0.5593999624252319, top4%=0.6077699661254883, top5%=0.6452299952507019, loss=0.04135758161664009, time=127.383948802948s
Train epoch 38: top1%=0.37286999821662903, top2%=0.4931599795818329, top3%=0.5623499751091003, top4%=0.610480010509491, top5%=0.6480199694633484, loss=0.04119293188929558, time=127.53968024253845s
Train epoch 39: top1%=0.37518998980522156, top2%=0.49465999007225037, top3%=0.5644299983978271, top4%=0.6133300065994263, top5%=0.650629997253418, loss=0.04097667004704476, time=127.34348630905151s
Train epoch 40: top1%=0.37893998622894287, top2%=0.49848997592926025, top3%=0.568340003490448, top4%=0.6177699565887451, top5%=0.6547099947929382, loss=0.040768922218084334, time=127.34032869338989s
Train epoch 41: top1%=0.38051000237464905, top2%=0.5005999803543091, top3%=0.5718500018119812, top4%=0.6195399761199951, top5%=0.6573699712753296, loss=0.04063587111592293, time=127.20594644546509s
