Train epoch 1: top1%=0.10324999690055847, top2%=0.20088332891464233, top3%=0.29813000559806824, top4%=0.39789000153541565, top5%=0.4973166584968567, loss=0.009093931980927785, time=719.1255984306335s
Train epoch 2: top1%=0.29038000106811523, top2%=0.43554332852363586, top3%=0.5450366735458374, top4%=0.6350433230400085, top5%=0.7147233486175537, loss=0.007532145352363587, time=718.4720857143402s
Train epoch 3: top1%=0.42286667227745056, top2%=0.5723999738693237, top3%=0.6679633259773254, top4%=0.7413033246994019, top5%=0.800196647644043, loss=0.006182299549182256, time=719.7903110980988s
Train epoch 4: top1%=0.4507800042629242, top2%=0.5951099991798401, top3%=0.6871200203895569, top4%=0.7559166550636292, top5%=0.812126636505127, loss=0.00574245811243852, time=720.5098009109497s
Train epoch 5: top1%=0.48177334666252136, top2%=0.6255000233650208, top3%=0.7136033177375793, top4%=0.7801333069801331, top5%=0.8327299952507019, loss=0.005416169260342916, time=720.564046382904s
Train epoch 6: top1%=0.4844866693019867, top2%=0.6356666684150696, top3%=0.7253333330154419, top4%=0.7898299694061279, top5%=0.8418399691581726, loss=0.005288775772452355, time=718.2182581424713s
Train epoch 7: top1%=0.48796001076698303, top2%=0.6423100233078003, top3%=0.7316966652870178, top4%=0.796126663684845, top5%=0.8474500179290771, loss=0.005113594004511834, time=719.4765958786011s
Train epoch 8: top1%=0.4949899911880493, top2%=0.6515733599662781, top3%=0.7408566474914551, top4%=0.8044499754905701, top5%=0.8536033034324646, loss=0.0049856008950869245, time=719.9415118694305s
Train epoch 9: top1%=0.48761001229286194, top2%=0.6585666537284851, top3%=0.7513599991798401, top4%=0.8149433135986328, top5%=0.8635833263397217, loss=0.004912984002828598, time=716.4631254673004s
Train epoch 10: top1%=0.5206966400146484, top2%=0.692966639995575, top3%=0.7800533175468445, top4%=0.8385000228881836, top5%=0.8823999762535095, loss=0.004843007437388102, time=720.5233936309814s
Train epoch 11: top1%=0.515500009059906, top2%=0.6944566369056702, top3%=0.7829266786575317, top4%=0.8410066366195679, top5%=0.883816659450531, loss=0.004755867849389712, time=719.2365272045135s
Train epoch 12: top1%=0.5083233118057251, top2%=0.6961666941642761, top3%=0.7859833240509033, top4%=0.8445066809654236, top5%=0.8867499828338623, loss=0.004638657946387926, time=719.9569816589355s
Train epoch 13: top1%=0.5103466510772705, top2%=0.7115733027458191, top3%=0.8019833564758301, top4%=0.8591099977493286, top5%=0.8996566534042358, loss=0.004595419726371765, time=719.7489380836487s
Train epoch 14: top1%=0.5035099983215332, top2%=0.7115733027458191, top3%=0.8010666370391846, top4%=0.8571633100509644, top5%=0.8965433239936829, loss=0.004507656962474187, time=721.2060463428497s
Train epoch 15: top1%=0.5114733576774597, top2%=0.7313766479492188, top3%=0.8207966685295105, top4%=0.8743033409118652, top5%=0.9110666513442993, loss=0.004492474505901337, time=719.7487111091614s
Train epoch 16: top1%=0.5141466856002808, top2%=0.7383466362953186, top3%=0.825843334197998, top4%=0.8777099847793579, top5%=0.9125133156776428, loss=0.004394025422533353, time=719.7190511226654s
Train epoch 17: top1%=0.5130733251571655, top2%=0.7431633472442627, top3%=0.8296833038330078, top4%=0.8815199732780457, top5%=0.9157599806785583, loss=0.004376674254933993, time=720.2447352409363s
Train epoch 18: top1%=0.5080033540725708, top2%=0.7493166923522949, top3%=0.8366733193397522, top4%=0.8866400122642517, top5%=0.9202566742897034, loss=0.004341002240975698, time=718.6155307292938s
Train epoch 19: top1%=0.520163357257843, top2%=0.7621933221817017, top3%=0.8453800082206726, top4%=0.8932066559791565, top5%=0.9245100021362305, loss=0.00427712364256382, time=719.2881505489349s
Train epoch 20: top1%=0.5043566823005676, top2%=0.7660899758338928, top3%=0.8511000275611877, top4%=0.8982399702072144, top5%=0.9283400177955627, loss=0.004306143587430318, time=719.0492269992828s
Train epoch 21: top1%=0.528576672077179, top2%=0.7753433585166931, top3%=0.855056643486023, top4%=0.8992400169372559, top5%=0.9282666444778442, loss=0.004209883191784223, time=719.273134469986s
Train epoch 22: top1%=0.5307166576385498, top2%=0.7762733101844788, top3%=0.854753315448761, top4%=0.8976066708564758, top5%=0.9265766739845276, loss=0.004163037736813227, time=720.8551166057587s
Train epoch 23: top1%=0.522059977054596, top2%=0.784956693649292, top3%=0.8642133474349976, top4%=0.9064833521842957, top5%=0.9334633350372314, loss=0.004210020699302356, time=719.769852399826s
Train epoch 24: top1%=0.520799994468689, top2%=0.7889800071716309, top3%=0.8658333420753479, top4%=0.9066266417503357, top5%=0.9329466819763184, loss=0.0041716500012079875, time=719.2280733585358s
Train epoch 25: top1%=0.5310233235359192, top2%=0.7981600165367126, top3%=0.8744833469390869, top4%=0.9136833548545837, top5%=0.9394033551216125, loss=0.00415362834751606, time=717.6384694576263s
Train epoch 26: top1%=0.5310233235359192, top2%=0.8025433421134949, top3%=0.8772500157356262, top4%=0.9154233336448669, top5%=0.9401199817657471, loss=0.004113506458799044, time=717.6420335769653s
Train epoch 27: top1%=0.5178899765014648, top2%=0.8068599700927734, top3%=0.8815566897392273, top4%=0.919426679611206, top5%=0.9429366588592529, loss=0.0041250919616222384, time=717.9626457691193s
