Train epoch 1: top1%=0.2202499955892563, top2%=0.4062750041484833, top3%=0.5489999651908875, top4%=0.6694999933242798, top5%=0.7590000033378601, loss=0.06457386547029019, time=23.465468883514404s
Train epoch 2: top1%=0.24527499079704285, top2%=0.43959999084472656, top3%=0.5822499990463257, top4%=0.6965999603271484, top5%=0.7811749577522278, loss=0.06295294343233108, time=21.717962503433228s
Train epoch 3: top1%=0.2604749798774719, top2%=0.4608999788761139, top3%=0.6066499948501587, top4%=0.7181000113487244, top5%=0.8005249500274658, loss=0.06167009607255459, time=21.706599950790405s
Train epoch 4: top1%=0.27285000681877136, top2%=0.4809249937534332, top3%=0.6289499998092651, top4%=0.7387499809265137, top5%=0.8190749883651733, loss=0.0603911606490612, time=21.751871347427368s
Train epoch 5: top1%=0.2795499861240387, top2%=0.49194997549057007, top3%=0.6408249735832214, top4%=0.7487999796867371, top5%=0.8284499645233154, loss=0.05946219098269939, time=22.112870931625366s
Train epoch 6: top1%=0.2953000068664551, top2%=0.507224977016449, top3%=0.649774968624115, top4%=0.7592499852180481, top5%=0.8371999859809875, loss=0.05859867581129074, time=22.068585872650146s
Train epoch 7: top1%=0.30072498321533203, top2%=0.5162500143051147, top3%=0.661175012588501, top4%=0.7680749893188477, top5%=0.8439249992370605, loss=0.057882338526844976, time=21.86626958847046s
Train epoch 8: top1%=0.30912500619888306, top2%=0.5240249633789062, top3%=0.6692000031471252, top4%=0.7728999853134155, top5%=0.8471499681472778, loss=0.057419202679395674, time=21.90611481666565s
Train epoch 9: top1%=0.3150250017642975, top2%=0.5306749939918518, top3%=0.6743249893188477, top4%=0.7746749520301819, top5%=0.8496249914169312, loss=0.05701158785521984, time=21.874059200286865s
Train epoch 10: top1%=0.3163999915122986, top2%=0.5327249765396118, top3%=0.6775999665260315, top4%=0.7813249826431274, top5%=0.8566499948501587, loss=0.05663655897974968, time=21.88752269744873s
Train epoch 11: top1%=0.32042500376701355, top2%=0.5386499762535095, top3%=0.6839249730110168, top4%=0.7829499840736389, top5%=0.856749951839447, loss=0.05643236774802208, time=21.877296924591064s
Train epoch 12: top1%=0.3199499845504761, top2%=0.5410249829292297, top3%=0.6832249760627747, top4%=0.7838499546051025, top5%=0.8574749827384949, loss=0.05625636133849621, time=21.840264081954956s
Train epoch 13: top1%=0.32909998297691345, top2%=0.5457749962806702, top3%=0.6868500113487244, top4%=0.7879999876022339, top5%=0.8606500029563904, loss=0.05598331880271435, time=22.00521731376648s
Train epoch 14: top1%=0.33262500166893005, top2%=0.5487749576568604, top3%=0.6913250088691711, top4%=0.790274977684021, top5%=0.861799955368042, loss=0.0556086291462183, time=22.015458583831787s
Train epoch 15: top1%=0.32912498712539673, top2%=0.5442999601364136, top3%=0.6909499764442444, top4%=0.7912249565124512, top5%=0.862625002861023, loss=0.05567895503640175, time=21.811556816101074s
Train epoch 16: top1%=0.3338249921798706, top2%=0.5515750050544739, top3%=0.6944499611854553, top4%=0.7954750061035156, top5%=0.8668249845504761, loss=0.055376073068380355, time=21.83204221725464s
Train epoch 17: top1%=0.3352999985218048, top2%=0.5571249723434448, top3%=0.6992499828338623, top4%=0.79749995470047, top5%=0.8683249950408936, loss=0.05512902788221836, time=21.835114240646362s
Train epoch 18: top1%=0.34037500619888306, top2%=0.5576499700546265, top3%=0.6993499994277954, top4%=0.79892498254776, top5%=0.869825005531311, loss=0.05493967391550541, time=21.836933135986328s
Train epoch 19: top1%=0.3404749929904938, top2%=0.5576249957084656, top3%=0.7005499601364136, top4%=0.7988499999046326, top5%=0.8698749542236328, loss=0.054839966839551925, time=21.791157484054565s
Train epoch 20: top1%=0.3423999845981598, top2%=0.5619750022888184, top3%=0.7032999992370605, top4%=0.801099956035614, top5%=0.8689249753952026, loss=0.05470743015110493, time=21.835511207580566s
Train epoch 21: top1%=0.34132498502731323, top2%=0.5624249577522278, top3%=0.7008749842643738, top4%=0.8003249764442444, top5%=0.8698999881744385, loss=0.05468377583324909, time=21.851327896118164s
Train epoch 22: top1%=0.3452499806880951, top2%=0.5665249824523926, top3%=0.703499972820282, top4%=0.8032999634742737, top5%=0.8733499646186829, loss=0.054552332216501236, time=21.833454370498657s
Train epoch 23: top1%=0.3455999791622162, top2%=0.5638749599456787, top3%=0.705049991607666, top4%=0.8029749989509583, top5%=0.8748499751091003, loss=0.054428284066915515, time=21.82511019706726s
