Train epoch 1: top1%=0.09999999403953552, top2%=0.19404000043869019, top3%=0.29407998919487, top4%=0.39851999282836914, top5%=0.5007599592208862, loss=0.009460987415313721, time=48.04816746711731s
Train epoch 2: top1%=0.1377599984407425, top2%=0.26027998328208923, top3%=0.36903998255729675, top4%=0.4732399880886078, top5%=0.5748400092124939, loss=0.008942730808258057, time=47.56175947189331s
Train epoch 3: top1%=0.1565999984741211, top2%=0.28731998801231384, top3%=0.40351998805999756, top4%=0.5063999891281128, top5%=0.6094799637794495, loss=0.008695656957626342, time=47.72564435005188s
Train epoch 4: top1%=0.17415998876094818, top2%=0.315559983253479, top3%=0.4384399950504303, top4%=0.5432800054550171, top5%=0.6417999863624573, loss=0.00854272442817688, time=47.60012698173523s
Train epoch 5: top1%=0.18323999643325806, top2%=0.32447999715805054, top3%=0.44467997550964355, top4%=0.552079975605011, top5%=0.6464799642562866, loss=0.008347650928497314, time=47.7342483997345s
Train epoch 6: top1%=0.21067999303340912, top2%=0.3646799921989441, top3%=0.4909600019454956, top4%=0.5895999670028687, top5%=0.6827600002288818, loss=0.008239240727424622, time=53.72501850128174s
Train epoch 7: top1%=0.22447998821735382, top2%=0.3754799962043762, top3%=0.4971599876880646, top4%=0.6030799746513367, top5%=0.6923999786376953, loss=0.008068933353424072, time=54.29359793663025s
Train epoch 8: top1%=0.20768000185489655, top2%=0.3511999845504761, top3%=0.46823999285697937, top4%=0.5747599601745605, top5%=0.6643999814987183, loss=0.007986149725914002, time=54.516857624053955s
Train epoch 9: top1%=0.23603999614715576, top2%=0.39348000288009644, top3%=0.5131999850273132, top4%=0.6144399642944336, top5%=0.7035199999809265, loss=0.007904802074432372, time=54.21294713020325s
Train epoch 10: top1%=0.24875999987125397, top2%=0.4023599922657013, top3%=0.521399974822998, top4%=0.6234399676322937, top5%=0.709119975566864, loss=0.007758867568969726, time=54.10311698913574s
Train epoch 11: top1%=0.2571199834346771, top2%=0.41604000329971313, top3%=0.5349999666213989, top4%=0.6359999775886536, top5%=0.7194399833679199, loss=0.00775932559967041, time=54.291574001312256s
Train epoch 12: top1%=0.2690799832344055, top2%=0.4286800026893616, top3%=0.5473200082778931, top4%=0.6441199779510498, top5%=0.7292799949645996, loss=0.007629013600349426, time=54.07769536972046s
Train epoch 13: top1%=0.28387999534606934, top2%=0.4451199769973755, top3%=0.5635600090026855, top4%=0.6627199649810791, top5%=0.7432799935340881, loss=0.007664194798469543, time=53.9595205783844s
Train epoch 14: top1%=0.26179999113082886, top2%=0.4195599853992462, top3%=0.5400800108909607, top4%=0.6355199813842773, top5%=0.7167199850082397, loss=0.007492222061157227, time=54.26172661781311s
Train epoch 15: top1%=0.28835999965667725, top2%=0.45027998089790344, top3%=0.5731599926948547, top4%=0.6709199547767639, top5%=0.7473999857902527, loss=0.007568809447288513, time=54.13054156303406s
Train epoch 16: top1%=0.3081199824810028, top2%=0.4747599959373474, top3%=0.5939599871635437, top4%=0.6875199675559998, top5%=0.763480007648468, loss=0.0074240901899337765, time=54.27819204330444s
Train epoch 17: top1%=0.29440000653266907, top2%=0.462799996137619, top3%=0.5789600014686584, top4%=0.6708799600601196, top5%=0.7489199638366699, loss=0.007427081060409546, time=54.250244140625s
Train epoch 18: top1%=0.291920006275177, top2%=0.45455998182296753, top3%=0.576200008392334, top4%=0.6715599894523621, top5%=0.7481200098991394, loss=0.007435194964408875, time=54.18310785293579s
Train epoch 19: top1%=0.290039986371994, top2%=0.45107999444007874, top3%=0.5674799680709839, top4%=0.6618799567222595, top5%=0.7432399988174438, loss=0.0073624298620224, time=54.3259334564209s
Train epoch 20: top1%=0.26919999718666077, top2%=0.4240799844264984, top3%=0.5397599935531616, top4%=0.6362400054931641, top5%=0.7193199992179871, loss=0.0072591614246368405, time=54.445590019226074s
Train epoch 21: top1%=0.3286399841308594, top2%=0.5019999742507935, top3%=0.6196799874305725, top4%=0.7111200094223022, top5%=0.782319962978363, loss=0.007230758390426636, time=54.27021408081055s
Train epoch 22: top1%=0.31112000346183777, top2%=0.46991997957229614, top3%=0.5872399806976318, top4%=0.6787199974060059, top5%=0.7548399567604065, loss=0.0071611759948730465, time=54.63320708274841s
Train epoch 23: top1%=0.2921999990940094, top2%=0.4527999758720398, top3%=0.5666399598121643, top4%=0.659280002117157, top5%=0.7384399771690369, loss=0.007192702436447144, time=54.392340660095215s
Train epoch 24: top1%=0.3376399874687195, top2%=0.5030400156974792, top3%=0.6141200065612793, top4%=0.7039200067520142, top5%=0.777679979801178, loss=0.007111333689689636, time=54.14804244041443s
Train epoch 25: top1%=0.32631999254226685, top2%=0.4981599748134613, top3%=0.6106799840927124, top4%=0.6995999813079834, top5%=0.7759999632835388, loss=0.007257435817718506, time=54.34416747093201s
Train epoch 26: top1%=0.2837199866771698, top2%=0.43775999546051025, top3%=0.5535599589347839, top4%=0.6434800028800964, top5%=0.7206799983978271, loss=0.007013583283424377, time=54.12032389640808s
Train epoch 27: top1%=0.3434000015258789, top2%=0.5052399635314941, top3%=0.6177999973297119, top4%=0.708079993724823, top5%=0.7783199548721313, loss=0.006998352017402649, time=54.25049424171448s
Train epoch 28: top1%=0.3439199924468994, top2%=0.5021199584007263, top3%=0.6136800050735474, top4%=0.6985599994659424, top5%=0.7668799757957458, loss=0.006813427829742431, time=54.33449840545654s
Train epoch 29: top1%=0.31092000007629395, top2%=0.4665199816226959, top3%=0.5841999650001526, top4%=0.672760009765625, top5%=0.7488399744033813, loss=0.007001481785774231, time=54.121126890182495s
