Train epoch 1: top1%=0.10328000038862228, top2%=0.21264666318893433, top3%=0.3221000134944916, top4%=0.4290333390235901, top5%=0.5291100144386292, loss=0.009483601797421774, time=1397.4398448467255s
Train epoch 2: top1%=0.48118332028388977, top2%=0.6543166637420654, top3%=0.749293327331543, top4%=0.8139699697494507, top5%=0.8629099726676941, loss=0.005137516778111458, time=1400.4028301239014s
Train epoch 3: top1%=0.5181566476821899, top2%=0.698283314704895, top3%=0.7875433564186096, top4%=0.8452399969100952, top5%=0.8877099752426147, loss=0.004853106396993001, time=1398.4668354988098s
Train epoch 4: top1%=0.4974333345890045, top2%=0.6891066431999207, top3%=0.7816600203514099, top4%=0.8421099781990051, top5%=0.8859800100326538, loss=0.004875849487384161, time=1396.6756653785706s
Train epoch 5: top1%=0.509993314743042, top2%=0.698360025882721, top3%=0.789110004901886, top4%=0.8483833074569702, top5%=0.8907366394996643, loss=0.0048279978479941685, time=1398.8739778995514s
Train epoch 6: top1%=0.5094166398048401, top2%=0.6969866752624512, top3%=0.7876999974250793, top4%=0.8467633128166199, top5%=0.8889833092689514, loss=0.004815347965757052, time=1399.0822591781616s
Train epoch 7: top1%=0.5150799751281738, top2%=0.7014899849891663, top3%=0.7924266457557678, top4%=0.8500400185585022, top5%=0.8927966356277466, loss=0.004802554418047269, time=1405.8748772144318s
Train epoch 8: top1%=0.5208799839019775, top2%=0.7052233219146729, top3%=0.7952399849891663, top4%=0.8529199957847595, top5%=0.8940533399581909, loss=0.004813858718276024, time=1395.1341698169708s
Train epoch 9: top1%=0.5201966762542725, top2%=0.7012199759483337, top3%=0.7897766828536987, top4%=0.8469499945640564, top5%=0.8890166878700256, loss=0.00475538564324379, time=1411.8022141456604s
Train epoch 10: top1%=0.5112433433532715, top2%=0.6991933584213257, top3%=0.7907166481018066, top4%=0.8486599922180176, top5%=0.8909666538238525, loss=0.004792830991943677, time=1397.6214728355408s
Train epoch 11: top1%=0.5205666422843933, top2%=0.7137699723243713, top3%=0.8050400018692017, top4%=0.861270010471344, top5%=0.9016666412353516, loss=0.004901956935922305, time=1390.6554210186005s
Train epoch 12: top1%=0.5125066637992859, top2%=0.6979699730873108, top3%=0.7881466746330261, top4%=0.8464099764823914, top5%=0.8888300061225891, loss=0.004765648420453072, time=1400.2717580795288s
Train epoch 13: top1%=0.5082666873931885, top2%=0.697213351726532, top3%=0.7888166904449463, top4%=0.8475933074951172, top5%=0.8897066712379456, loss=0.004767542041540146, time=1391.5623292922974s
Train epoch 14: top1%=0.5209299921989441, top2%=0.7083466649055481, top3%=0.798313319683075, top4%=0.8550966382026672, top5%=0.8953199982643127, loss=0.004756703792611758, time=1398.8934335708618s
Train epoch 15: top1%=0.5220633149147034, top2%=0.7083266377449036, top3%=0.7958599925041199, top4%=0.8521400094032288, top5%=0.8933766484260559, loss=0.004724344152609508, time=1388.5440711975098s
