Train epoch 1: top1%=0.731024980545044, top2%=0.8534749746322632, top3%=0.9079749584197998, top4%=0.9377249479293823, top5%=0.958774983882904, loss=0.024496514559350906, time=52.0711305141449s
Train epoch 2: top1%=0.8863250017166138, top2%=0.9609499573707581, top3%=0.9823249578475952, top4%=0.9921749830245972, top5%=0.9958499670028687, loss=0.010761395559459925, time=51.19707417488098s
Train epoch 3: top1%=0.9144499897956848, top2%=0.9717999696731567, top3%=0.987625002861023, top4%=0.9942499995231628, top5%=0.9972249865531921, loss=0.008242091150255874, time=51.20024037361145s
Train epoch 4: top1%=0.9304249882698059, top2%=0.9781249761581421, top3%=0.9904999732971191, top4%=0.9959749579429626, top5%=0.998199999332428, loss=0.006725570707581938, time=51.23932695388794s
Train epoch 5: top1%=0.93954998254776, top2%=0.9808249473571777, top3%=0.9911499619483948, top4%=0.9961499571800232, top5%=0.9982499480247498, loss=0.005896313358785119, time=51.20543193817139s
Train epoch 6: top1%=0.9472249746322632, top2%=0.984624981880188, top3%=0.9931749701499939, top4%=0.9966249465942383, top5%=0.998699963092804, loss=0.005238609425048344, time=51.1876335144043s
Train epoch 7: top1%=0.9510499835014343, top2%=0.9858499765396118, top3%=0.9935749769210815, top4%=0.9968499541282654, top5%=0.9986249804496765, loss=0.004818383315880783, time=50.959925413131714s
Train epoch 8: top1%=0.9550749659538269, top2%=0.9871749877929688, top3%=0.9945999979972839, top4%=0.9975000023841858, top5%=0.9989499449729919, loss=0.004455586871184642, time=50.47257733345032s
Train epoch 9: top1%=0.9580499529838562, top2%=0.9890999794006348, top3%=0.9949749708175659, top4%=0.9978999495506287, top5%=0.9991999864578247, loss=0.004117565581831149, time=50.54823446273804s
Train epoch 10: top1%=0.9591999650001526, top2%=0.9889499545097351, top3%=0.995324969291687, top4%=0.9978500008583069, top5%=0.9991499781608582, loss=0.003963139080011752, time=50.47245693206787s
Train epoch 11: top1%=0.9611249566078186, top2%=0.9900499582290649, top3%=0.9958249926567078, top4%=0.9982749819755554, top5%=0.9994249939918518, loss=0.003757644962426275, time=50.42055082321167s
